G_mM,theta,p0_H,p1_H,p2_H,p3_H,p0_R,p1_R,p2_R,p3_R,UT_H,UR,UT_R
4.600983607983032304e-03,9.986427585735386803e-01,2.500180253846687242e-09,5.518812328346734033e-06,4.060679154186504040e-03,9.959337995333048532e-01,3.427402888064157716e-09,6.460136530774984690e-06,4.058793724113850254e-03,9.959347427119524809e-01,8.434152157964673879e-01,1.146273840929830498e-03,7.201843257519461305e-01
4.651035517506356756e-03,9.986393694042167146e-01,2.518956672549302001e-09,5.546389984527086625e-06,4.070791450510783879e-03,9.959236596405479647e-01,3.453142772853305408e-09,6.492414239522407959e-06,4.068896599442167576e-03,9.959246075331755765e-01,8.419289544107447787e-01,1.147115094741861258e-03,7.189148036412098541e-01
4.701631917916935556e-03,9.986359294167899137e-01,2.538110523726751280e-09,5.574451336366134465e-06,4.081055232625955924e-03,9.959133677779271610e-01,3.479400065600240695e-09,6.525258051186142687e-06,4.079150795327715281e-03,9.959143204672209482e-01,8.404305201192061592e-01,1.147972465196568691e-03,7.176348824350529121e-01
4.752778732471815010e-03,9.986324377537296737e-01,2.557651149851368990e-09,5.603006538822267581e-06,4.091473052779884614e-03,9.959029213830301597e-01,3.506187573545167063e-09,6.558679849970396995e-06,4.089558860548276817e-03,9.959038789534140346e-01,8.389198533576728289e-01,1.148846237840133898e-03,7.163445112187069030e-01
4.804481948864357081e-03,9.986288935415289503e-01,2.577588168736452978e-09,5.632065996876863476e-06,4.102047510654889192e-03,9.958923178457600445e-01,3.533518481386285499e-09,6.592691812654965630e-06,4.100123391232035272e-03,9.958932803834368297e-01,8.373968950952220824e-01,1.149736702587080906e-03,7.150436395322137262e-01
4.856747619925163087e-03,9.986252958903836241e-01,2.597931482852842865e-09,5.661640372539899276e-06,4.112781254309599670e-03,9.958815545073863573e-01,3.561406364049922525e-09,6.627306416790023010e-06,4.110847031796392714e-03,9.958825221003804185e-01,8.358615868548096017e-01,1.150644153766631084e-03,7.137322173880324971e-01
4.909581864330715174e-03,9.986216438938674278e-01,2.618691288996550031e-09,5.691740592071849505e-06,4.123676981139705669e-03,9.958706286595769841e-01,3.589865199936746173e-09,6.662536449137581581e-06,4.121732475903643229e-03,9.958716013977819692e-01,8.343138707341724025e-01,1.151568890168917043e-03,7.124101952888860501e-01
4.962990867319661860e-03,9.986179366285996561e-01,2.639878088325609588e-09,5.722377853434477576e-06,4.134737438859897515e-03,9.958595375434086128e-01,3.618909384690221188e-09,6.698395014400714365e-06,4.132782467443949642e-03,9.958605155186321944e-01,8.327536894270124446e-01,1.152511215091031518e-03,7.110775242458463596e-01
5.016980881416900281e-03,9.986141731539064370e-01,2.661502696776159509e-09,5.753563633970567582e-06,4.145965426504657700e-03,9.958482783483586509e-01,3.648553745468827581e-09,6.734895544200596485e-06,4.143999801530912595e-03,9.958492616543710430e-01,8.311809862444583530e-01,1.153471436382883268e-03,7.097341557966587722e-01
5.071558227165591341e-03,9.986103525114741197e-01,2.683576255881050250e-09,5.785309698331217554e-06,4.157363795452210901e-03,9.958368482112731623e-01,3.678813555779558432e-09,6.772051806354921007e-06,4.155387325523836155e-03,9.958378369438560807e-01,8.295957051368048063e-01,1.154449866492838518e-03,7.083800420243018259e-01
