PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,9.579511610221181916e-01,4.878524367060187439e-01,7.387214224220532977e-01,4.623091602810158740e-03
5.000000000000000000e-01,9.579511610221181916e-01,5.351516716806418161e-01,7.387214224220531866e-01,4.578336308775243779e-03
5.000000000000000000e-01,9.579511610221181916e-01,5.870367556966068490e-01,7.387214224220531866e-01,4.536173147437705389e-03
5.000000000000000000e-01,9.579511610221181916e-01,6.439523050662339099e-01,7.387214224220530756e-01,4.496316426476187900e-03
5.000000000000000000e-01,9.579511610221181916e-01,7.063860434225154306e-01,7.387214224220532977e-01,4.459104267490077156e-03
5.000000000000000000e-01,9.579511610221181916e-01,7.748729811453863858e-01,7.387214224220532977e-01,4.424024965763329043e-03
5.000000000000000000e-01,9.579511610221181916e-01,8.499999999999999778e-01,7.387214224220531866e-01,4.391320383354546664e-03
5.000000000000000000e-01,1.318891031253563773e+00,2.800000000000000266e-01,7.362525178331215114e-01,3.710251668761710420e-03
5.000000000000000000e-01,1.318891031253563773e+00,3.071471141608240196e-01,7.362525178331215114e-01,3.664475560547386657e-03
5.000000000000000000e-01,1.318891031253563773e+00,3.369262490618652461e-01,7.362525178331215114e-01,3.620658641173113423e-03
5.000000000000000000e-01,1.318891031253563773e+00,3.695925895870819655e-01,7.362525178331216225e-01,3.578792642305206329e-03
5.000000000000000000e-01,1.318891031253563773e+00,4.054260618103502356e-01,7.362525178331216225e-01,3.538938447314343705e-03
5.000000000000000000e-01,1.318891031253563773e+00,4.447337317522747635e-01,7.362525178331216225e-01,3.501229988675857996e-03
5.000000000000000000e-01,1.318891031253563773e+00,4.878524367060187439e-01,7.362525178331217335e-01,3.465385726140746137e-03
5.000000000000000000e-01,1.318891031253563773e+00,5.351516716806418161e-01,7.362525178331216225e-01,3.431475324855770559e-03
5.000000000000000000e-01,1.318891031253563773e+00,5.870367556966068490e-01,7.362525178331216225e-01,3.399627721711984130e-03
5.000000000000000000e-01,1.318891031253563773e+00,6.439523050662339099e-01,7.362525178331215114e-01,3.369440175916005309e-03
5.000000000000000000e-01,1.318891031253563773e+00,7.063860434225154306e-01,7.362525178331217335e-01,3.341352614894210760e-03
5.000000000000000000e-01,1.318891031253563773e+00,7.748729811453863858e-01,7.362525178331217335e-01,3.314791923880622271e-03
5.000000000000000000e-01,1.318891031253563773e+00,8.499999999999999778e-01,7.362525178331217335e-01,3.290125515053476946e-03
5.000000000000000000e-01,1.815826968115054285e+00,2.800000000000000266e-01,7.344298217425605513e-01,2.759454522384019448e-03
5.000000000000000000e-01,1.815826968115054285e+00,3.071471141608240196e-01,7.344298217425605513e-01,2.725169382777004046e-03
