# Re F(i omega) of the auxiliary chain at the identical-independent steady state (companion manuscript); omega in units of the mean exit rate
n,omega,ReF
2,0.4454812518844989,0.942062341237044
2,0.4665479882234473,0.9378708008299291
2,0.48861096711603264,0.9333161344969414
2,0.5117173007114605,0.928371104326799
2,0.5359163290848514,0.9230072243495723
2,0.5612597255954972,0.9171948600249039
2,0.5878016072274912,0.910903365627256
2,0.6155986501483508,0.9041012649113174
2,0.644710210732387,0.8967564804696229
2,0.6751984523072502,0.8888366170052471
2,0.7071284778942997,0.8803093032729348
2,0.7405684692262434,0.8711425966260935
2,0.7755898323389001,0.8613054528784454
2,0.812267350047972,0.850768262487156
2,0.8506793416364162,0.8395034518412924
2,0.8909078300934142,0.8274861456702343
2,0.933038717262037,0.8146948832791615
2,0.9771619672696181,0.8011123775256888
2,1.0233717986325201,0.786726301281919
2,1.0717668854455034,0.7715300817534753
2,1.122450568085307,0.7555236786952158
2,1.17553107387837,0.7387143185842082
2,1.2311217482038908,0.7211171535532397
2,1.2893412965257156,0.7027558117574768
2,1.3503140378698735,0.6836628052501721
2,1.414170170289024,0.6638797627469177
2,1.4810460488806754,0.6434574581365858
2,1.5510844769528405,0.6224556113815154
2,1.624435010958867,0.6009424464803385
2,1.7012542798525891,0.5789940011630985
2,1.7817063195457308,0.5566931944392939
2,1.865962923181746,0.5341286703058117
2,1.9542040079740535,0.5113934479683735
2,2.04661799939199,0.4885834198874241
2,2.143402233514857,0.4657957479043102
2,2.2447633784132237,0.4431272138463829
2,2.3509178754572866,0.42067258379126204
2,2.4620924014946257,0.3985230443334121
2,2.5785243528842736,0.3767647648181981
2,2.700462352420682,0.355477631992443
2,2.8281667802300325,0.33473419354204526
2,2.9619103297725533,0.31459883541045264
2,3.101978590138097,0.2951272055653369
2,3.248670655878375,0.2763658849316234
2,3.4022997656780714,0.25835229534908655
2,3.563193971228588,0.24111482527019723
2,3.7316968377327555,0.2246731468945694
2,3.908168177536268,0.20903869371685457
2,4.092984818452442,0.19421526501211805
2,4.28654140842093,0.1801997233934901
2,4.489251258218608,0.16698275292773845
2,4.701547224022135,0.15454964799427906
2,4.923882631706742,0.14288110671093435
2,5.156732244854969,0.131954006933799
2,5.400593278542374,0.12174214722392729
2,5.655986461065008,0.11221693947902056
2,5.923457145875806,0.10334804394240549
2,6.203576476104275,0.09510394088134899
2,6.496942604146125,0.08745243629040944
2,6.804181968927101,0.0803611014924015
2,7.125950633568411,0.07379764848830295
2,7.4629356863101375,0.06773024438496278
2,7.815856707684091,0.06212776926036845
2,8.185467307069029,0.05696002247460974
2,8.572556731909325,0.05219788276728865
2,8.977951553033323,0.04781342756367912
2,9.402517429670132,0.04378001680193078
2,9.847160957933774,0.04007234634438628
2,10.312831606721847,0.036666475692130995
2,10.80052374516254,0.03353983431971275
2,11.311278765939214,0.030671210515595515
2,11.846187309026847,0.028040726175561415
2,12.406391590588319,0.025629800567409267
2,12.993087842004172,0.023421105677364884
2,13.607528864243331,0.021398515369249416
2,14.251026703029993,0.019547050240950714
2,14.92495545051829,0.017852819751188242
2,15.630754179458174,0.016302962913103514
2,16.36993001611702,0.014885588608850586
2,17.14406135851972,0.013589716369160065
2,17.954801246878304,0.012405218281397179
2,18.803880893409165,0.011322762536220665
2,19.69311337907422,0.010333758993714692
2,20.624397525140925,0.009430307042103458
2,21.59972194782717,0.00860514593310202
2,22.621169304690262,0.007851607705206876
2,23.69092074182632,0.007163572747423852
2,24.811260551377703,0.00653542800906215
2,25.984581049292473,0.0059620278244071345
2,27.213387683753087,0.005438657292750948
2,28.500304385181053,0.004960998132933825
2,29.848079169243274,0.004525096916070281
2,31.259590004822844,0.004127335569404145
2,32.73785095948577,0.0037644040373731036
2,34.2860186355659,0.003433274982225898
2,35.90739891061055,0.0031311804052419623
2,37.60545399658176,0.0028555900702830206
2,39.38380983288489,0.0026041916135344234
2,41.246263829013564,0.0023748722265820588
2,43.196792973341736,0.0021657018040580622
2,45.23956232538058,0.0019749174517788015
2,47.37893390963144,0.0018009092563412432
2,49.619476030029084,0.0016422072224235862
2,51.965973024861974,0.0014974692894237362
2,54.42343548300272,0.001365470344431019
2,56.99711094326075,0.0012450921538220694
2,59.69249509970739,0.001135314140940702
2,62.51534353689712,0.001035204942301804
2,65.47168402004743,0.0009439146795404696
2,68.56782936641739,0.000860667888873401
2,71.81039092537357,0.0007847570541676951
2,75.20629269592408,0.000715536693767338
2,78.76278611187062,0.0006524179550638776
2,82.48746552614581,0.0005948636743741131
2,86.38828442740453,0.0005423838630412847
2,90.47357242349293,0.000494531583789759
2,94.75205302806548,0.0004508991842533394
2,99.23286228832545,0.00041111485731082364
2,103.9255682936713,0.00037483950031469426
2,108.84019160690055,0.00034176384764184053
2,113.98722666160525,0.0003116058530873156
2,119.37766417144357,0.00028410830059977243
2,125.0230145991456,0.0002590366236625563
