lambda,G_mM,mean_UMP,UT_capacity,UR_capacity,E0,E1,E2
1.000000000000000000e+00,5.160280113576124796e-03,2.995812321807081791e+00,8.270282919060462090e-01,1.156056511861884833e-03,8.277229209241691033e-01,1.641397383585055936e-01,8.137340717325296235e-03
1.000000000000000000e+00,5.231655297966915884e-03,2.995797154227426873e+00,8.249715308325675789e-01,1.157364111238371514e-03,8.256612565243385271e-01,1.659955730599035062e-01,8.343170415758003125e-03
1.000000000000000000e+00,5.304017718870969976e-03,2.995781691414390657e+00,8.228941559564949548e-01,1.158703083428024765e-03,8.235789291785290400e-01,1.678671323012293770e-01,8.553938520241678375e-03
1.000000000000000000e+00,5.377381031397444194e-03,2.995765926908476651e+00,8.207960598153598575e-01,1.160074116364300661e-03,8.214758311680807612e-01,1.697544155132848509e-01,8.769753318634415651e-03
1.000000000000000000e+00,5.451759079528157963e-03,2.995749854094848175e+00,8.186771369698924161e-01,1.161477910639935156e-03,8.193518568023567816e-01,1.716574181061467086e-01,8.990725091496400492e-03
1.000000000000000000e+00,5.527165898730031918e-03,2.995733466199351103e+00,8.165372840821821798e-01,1.162915179649390025e-03,8.172069024970879392e-01,1.735761313684001383e-01,9.216966134511896461e-03
1.000000000000000000e+00,5.603615718603657640e-03,2.995716756284428683e+00,8.143763999949090726e-01,1.164386649729315815e-03,8.150408668537955093e-01,1.755105423656042329e-01,9.448590780600165870e-03
1.000000000000000000e+00,5.681122965568452705e-03,2.995699717244931559e+00,8.121943858116407178e-01,1.165893060296864167e-03,8.128536507402771560e-01,1.774606338380362025e-01,9.685715421686643192e-03
1.000000000000000000e+00,5.759702265585010805e-03,2.995682341803814541e+00,8.099911449781590500e-01,1.167435163985648281e-03,8.106451573721293880e-01,1.794263840977654567e-01,9.928458530105106761e-03
1.000000000000000000e+00,5.839368446915094504e-03,2.995664622507717034e+00,8.077665833648087768e-01,1.169013726779171564e-03,8.084152923952911962e-01,1.814077669251084879e-01,1.017694067960031416e-02
1.000000000000000000e+00,5.920136542919769360e-03,2.995646551722429329e+00,8.055206093498357145e-01,1.170629528141514967e-03,8.061639639695821202e-01,1.834047514645181787e-01,1.043128456589969590e-02
1.000000000000000000e+00,6.002021794896273549e-03,2.995628121628238549e+00,8.032531339036962370e-01,1.172283361145083766e-03,8.038910828532115360e-01,1.854173021199662652e-01,1.069161502682213286e-02
1.000000000000000000e+00,6.085039654954141689e-03,2.995609324215146696e+00,8.009640706743056393e-01,1.173976032595204933e-03,8.015965624882310792e-01,1.874453784498782971e-01,1.095805906189061159e-02
1.000000000000000000e+00,6.169205788931050351e-03,2.995590151277964797e+00,7.986533360732026576e-01,1.175708363151352440e-03,7.992803190869042229e-01,1.894889350616812962e-01,1.123074585141451212e-02
1.000000000000000000e+00,6.254536079349045340e-03,2.995570594411278709e+00,7.963208493625960616e-01,1.177481187444784057e-03,7.969422717189608152e-01,1.915479215060323370e-01,1.150980677500689463e-02
1.000000000000000000e+00,6.341046628411665075e-03,2.995550645004272372e+00,7.939665327432636754e-01,1.179295354192360680e-03,7.945823423997044888e-01,1.936222821707945241e-01,1.179537542950083451e-02
1.000000000000000000e+00,6.428753761042461413e-03,2.995530294235425828e+00,7.915903114432694121e-01,1.181151726306314213e-03,7.922004561789430799e-01,1.957119561748292547e-01,1.208758764622773832e-02
1.000000000000000000e+00,6.517674027965601399e-03,2.995509533067058250e+00,7.891921138074620146e-01,1.183051180999720054e-03,7.897965412306989785e-01,1.978168772616807070e-01,1.238658150762038217e-02
1.000000000000000000e+00,6.607824208829082488e-03,2.995488352239736862e+00,7.867718713877196457e-01,1.184994609887441092e-03,7.873705289436697674e-01,1.999369736932284924e-01,1.269249736310191362e-02
1.000000000000000000e+00,6.699221315371086879e-03,2.995466742266529536e+00,7.843295190338998024e-01,1.186982919082276051e-03,7.849223540123946297e-01,2.020721681433843009e-01,1.300547784422106945e-02
1.000000000000000000e+00,6.791882594630200068e-03,2.995444693427110394e+00,7.818649949854526993e-01,1.189017029286071076e-03,7.824519545290866684e-01,2.042223775919196072e-01,1.332566787899377124e-02
