model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,4.506451404752999,0.9947915921010295,7.670240998343149,0.040158907775248616,0.017453180278686215,0.005041789024634156,0.2862560049253794,0.040158907775248616,0.48642487764515724,0.16466524035089442
reference,4.568783059795554,0.9948769594749389,7.722224625261755,0.03976498734046485,0.01732189918639978,0.005073076895276264,0.2844800740140805,0.03976498734046485,0.49009341742266826,0.16326654514111041
reference,4.631976864425748,0.9949605510318463,7.774106035456619,0.039375642178043936,0.017191012257279002,0.005104382759729217,0.28269585972953226,0.039375642178043936,0.4937559132489215,0.16187718982649413
reference,4.696044743594259,0.9950424168551083,7.825882280599374,0.038990762032867304,0.01706052117768101,0.005135703256373555,0.28090382782863077,0.038990762032867304,0.49741212071272556,0.16049706499172192
reference,4.7609987871934845,0.9951226052452259,7.877550411470354,0.03861024044158438,0.016930427859791344,0.005167035032508549,0.27910443641594124,0.03861024044158438,0.5010617961073218,0.15912606414285269
reference,4.826851252338975,0.9952011627918885,7.929107478745386,0.03823397461612065,0.01680073443031267,0.0051983747452031565,0.27729813600699255,0.03823397461612065,0.5047046964768535,0.15776408372451747
reference,4.893614565682416,0.9952781344428856,7.980550533824254,0.03786186533030776,0.016671443219448728,0.005229719062156516,0.2754853695930347,0.03786186533030776,0.5083405796654896,0.15641102312956265
reference,4.961301325756567,0.9953535635700336,8.03187662969817,0.037493816809547664,0.01654255675017413,0.0052610646625668046,0.2736665727070426,0.037493816809547664,0.5119692043690446,0.15506678470162427
reference,5.029924305352672,0.9954274920322542,8.083082821853603,0.03712973662342616,0.016414077727780918,0.005292408238007257,0.2718421734907579,0.03712973662342616,0.515590330188937,0.15373127373109086
reference,5.09949645393076,0.9954999602359329,8.134166169209777,0.03676953558119425,0.01628600902969355,0.005323746493308116,0.27001259276258277,0.03676953558119425,0.5192037176883263,0.1524043984448951
reference,5.17003090006323,0.9955710071926862,8.185123735087176,0.03641312763003918,0.016158353695544376,0.00535507614744329,0.2681782440861512,0.03641312763003918,0.5228091284502642,0.15108606999055776
reference,5.241540953912291,0.9956406705746504,8.235952588204476,0.036060429756069066,0.016031114917502063,0.005386393934420598,0.2663395338394145,0.036060429756069066,0.5264063251377072,0.1497762024148866
reference,5.314040109741664,0.9957089867674099,8.286649803701348,0.03571136188793807,0.015904296030845762,0.005417696604174328,0.26449686128409605,0.03571136188793807,0.5299950715552276,0.14847471263771825
reference,5.387542048462974,0.9957759909206665,8.337212464184459,0.035365846803042146,0.01577790050477863,0.005448980923458977,0.26265061863538036,0.035365846803042146,0.5335751327122641,0.14718152042107577
reference,5.462060640217423,0.9958417169967579,8.387637660794347,0.035023810036217067,0.015651931933474143,0.005480243676743033,0.2608011911317114,0.035023810036217067,0.537146274887761,0.14589654833409335
reference,5.537609946993135,0.9959061978171161,8.437922494290529,0.034685179790873134,0.015526394027349483,0.005511481667101623,0.2589489571045915,0.034685179790873134,0.5407082656960348,0.14461972171404952
reference,5.614204225278738,0.9959694651067629,8.488064076152527,0.03434988685250314,0.015401290604560226,0.0055426917171069075,0.2570942880482779,0.03434988685250314,0.5442608741537219,0.14335096862382987
reference,5.691857928753592,0.9960315495369274,8.538059529694376,0.034017864504502934,0.015276625582711433,0.0055738706697151304,0.25523754868929,0.034017864504502934,0.5478038707476494,0.14209021980613118
reference,5.77058571101528,0.9960924807658716,8.58790599119031,0.03368904844624457,0.01515240297077982,0.0056050153891491995,0.2533790970556429,0.03368904844624457,0.5513370275034866,0.14083740863469701
reference,5.850402428344825,0.9961522874780029,8.637600611009342,0.03336337671334546,0.015028626861242657,0.005636122761775789,0.2515192845457383,0.03336337671334546,0.5548601180550302,0.1395924710628675
reference,5.931323142510099,0.9962109974213483,8.687140554756507,0.03304078960007828,0.014905301422409022,0.005667189696975854,0.24965845599685133,0.03304078960007828,0.5583729177139756,0.13835534556971008
reference,6.013363123608063,0.996268637443465,8.736523004418595,0.03272122958386742,0.014782430890949128,0.005698213128007576,0.24779694975315508,0.03272122958386742,0.5618752035400388,0.13712597310398192
reference,6.096537852946325,0.9963252335258568,8.785745159512295,0.03240464125182103,0.014660019564618078,0.005729190012860757,0.24593509773323938,0.03240464125182103,0.5653667544112925,0.13590429702616813
reference,6.180863025964485,0.9963808108169584,8.834804238232627,0.03209097122924788,0.014538071795170335,0.005760117335101632,0.244073225497083,0.03209097122924788,0.5688473510945748,0.13469026304882217
reference,6.266354555195962,0.9964353936637552,8.88369747859973,0.031780168110110786,0.01441659198146145,0.005790992104707214,0.24221165231244515,0.031780168110110786,0.5723167763158489,0.13348381917542643
reference,6.353028573270772,0.996489005642095,8.932422139602062,0.03147218238936909,0.014295584562733877,0.005821811358888262,0.24035069122065045,0.03147218238936909,0.5757748148303818,0.13228491563797654
reference,6.440901435959794,0.9965416695857502,8.980975502334086,0.031166966397165118,0.014175054012083823,0.0058525721628998936,0.23849064910174633,0.031166966397165118,0.5792212534926173,0.13109350483348747
reference,6.5299897252611885,0.9965934076142858,9.029354871126705,0.030864474234809813,0.014055004830106297,0.005883271610839134,0.23663182673901642,0.030864474234809813,0.5826558813256271,0.1299095412596012
reference,6.620310252529521,0.9966442411597817,9.077557574668665,0.030564661712524605,0.01393544153871544,0.005913906826428435,0.23477451888283776,0.030564661712524605,0.5860784895900212,0.12873298144947257
reference,6.711880061648094,0.9966941909924648,9.125580967117214,0.03026748628889813,0.013816368675137846,0.005944474963784423,0.23291901431387832,0.03026748628889813,0.5894888718522047,0.1275637839060965
