G_mM,PII_uM,GS_odds,large_pool_limit,odds_above_large_pool_limit
5.300000000000000266e-01,7.676540548714481993e+00,9.979165751160110620e-01,9.940245644289517069e-01,3.892010687059355156e-03
5.300000000000000266e-01,7.957440214449387206e+00,9.977791861477538493e-01,9.940245644289517069e-01,3.754621718802142460e-03
5.300000000000000266e-01,8.248618549554858959e+00,9.976466470450588986e-01,9.940245644289517069e-01,3.622082616107191733e-03
5.300000000000000266e-01,8.550451670690742745e+00,9.975187866064366693e-01,9.940245644289517069e-01,3.494222177484962444e-03
5.300000000000000266e-01,8.863329457362722152e+00,9.973954396738544670e-01,9.940245644289517069e-01,3.370875244902760137e-03
5.300000000000000266e-01,9.187656055531798316e+00,9.972764469193996506e-01,9.940245644289517069e-01,3.251882490447943752e-03
5.300000000000000266e-01,9.523850399651864862e+00,9.971616546394758140e-01,9.940245644289517069e-01,3.137090210524107192e-03
5.300000000000000266e-01,9.872346753809656761e+00,9.970509145562618247e-01,9.940245644289517069e-01,3.026350127310117877e-03
5.300000000000000266e-01,1.023359527266605795e+01,9.969440836261828087e-01,9.940245644289517069e-01,2.919519197231101870e-03
5.300000000000000266e-01,1.060806258292335080e+01,9.968410238551373981e-01,9.940245644289517069e-01,2.816459426185691228e-03
5.300000000000000266e-01,1.099623238606952569e+01,9.967416021202514242e-01,9.940245644289517069e-01,2.717037691299717395e-03
5.300000000000000266e-01,1.139860608317811774e+01,9.966456899979221351e-01,9.940245644289517069e-01,2.621125568970428255e-03
5.300000000000000266e-01,1.181570342257076689e+01,9.965531635979330005e-01,9.940245644289517069e-01,2.528599168981293666e-03
5.300000000000000266e-01,1.224806317117897336e+01,9.964639034034227238e-01,9.940245644289517069e-01,2.439338974471016996e-03
5.300000000000000266e-01,1.269624381047232475e+01,9.963777941165063989e-01,9.940245644289517069e-01,2.353229687554692084e-03
5.300000000000000266e-01,1.316082425785206311e+01,9.962947245093444204e-01,9.940245644289517069e-01,2.270160080392713553e-03
5.300000000000000266e-01,1.364240461444192931e+01,9.962145872804668567e-01,9.940245644289517069e-01,2.190022851515149860e-03
5.300000000000000266e-01,1.414160694024203124e+01,9.961372789161730967e-01,9.940245644289517069e-01,2.112714487221389881e-03
5.300000000000000266e-01,1.465907605764721744e+01,9.960626995568238051e-01,9.940245644289517069e-01,2.038135127872098273e-03
5.300000000000000266e-01,1.519548038436769843e+01,9.959907528678495492e-01,9.940245644289517069e-01,1.966188438897842339e-03
5.300000000000000266e-01,1.575151279682788896e+01,9.959213459153154480e-01,9.940245644289517069e-01,1.896781486363741109e-03
5.300000000000000266e-01,1.632789152515870157e+01,9.958543890458780856e-01,9.940245644289517069e-01,1.829824616926378766e-03
5.300000000000000266e-01,1.692536108093938907e+01,9.957897957709810344e-01,9.940245644289517069e-01,1.765231342029327521e-03
5.300000000000000266e-01,1.754469321888720756e+01,9.957274826551351099e-01,9.940245644289517069e-01,1.702918226183403050e-03
5.300000000000000266e-01,1.818668793373726800e+01,9.956673692081451366e-01,9.940245644289517069e-01,1.642804779193429709e-03
5.300000000000000266e-01,1.885217449360013831e+01,9.956093777811400036e-01,9.940245644289517069e-01,1.584813352188296776e-03
5.300000000000000266e-01,1.954201251113202176e+01,9.955534334662743401e-01,9.940245644289517069e-01,1.528869037322633240e-03
5.300000000000000266e-01,2.025709305390119397e+01,9.954994639999680262e-01,9.940245644289517069e-01,1.474899571016319300e-03
5.300000000000000266e-01,2.099833979538484385e+01,9.954473996695648585e-01,9.940245644289517069e-01,1.422835240613151697e-03
5.300000000000000266e-01,2.176671020808322154e+01,9.953971732232811398e-01,9.940245644289517069e-01,1.372608794329432946e-03
5.300000000000000266e-01,2.256319680029213259e+01,9.953487197833407185e-01,9.940245644289517069e-01,1.324155354389011663e-03
5.300000000000000266e-01,2.338882839813138403e+01,9.953019767621674729e-01,9.940245644289517069e-01,1.277412333215766083e-03
5.300000000000000266e-01,2.424467147448513060e+01,9.952568837815437552e-01,9.940245644289517069e-01,1.232319352592048389e-03
5.300000000000000266e-01,2.513183152657082431e+01,9.952133825946173351e-01,9.940245644289517069e-01,1.188818165665628257e-03
