G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
2.504640577811978464e-02,1.007299722921572993e+00,8.307387909686620581e-03,9.989923350391018975e-01
2.539283887698133221e-02,1.007543732356452892e+00,8.586204760328567526e-03,9.989575275557671663e-01
2.574406371694339113e-02,1.007797698715506840e+00,8.876599293447457947e-03,9.989210994094016582e-01
2.610014657568797761e-02,1.008062107832330412e+00,9.179140624150467984e-03,9.988829671918552089e-01
2.646115464762680697e-02,1.008337472274689617e+00,9.494429430816939824e-03,9.988430428563213059e-01
2.682715605658106753e-02,1.008624333387331262e+00,9.823099939990254104e-03,9.988012334474031251e-01
2.719821986863679361e-02,1.008923262713068425e+00,1.016582184850891094e-02,9.987574408150693417e-01
2.757441610517789160e-02,1.009234863857955133e+00,1.052330256250083584e-02,9.987115613115282731e-01
2.795581575609944885e-02,1.009559774889368100e+00,1.089628939713655799e-02,9.986634854700028319e-01
2.834249079320391718e-02,1.009898669668274351e+00,1.128557201279374242e-02,9.986130976643224910e-01
2.873451418378247108e-02,1.010252260780220013e+00,1.169198504874840831e-02,9.985602757481955027e-01
2.913195990438422964e-02,1.010621301400504990e+00,1.211641074721846525e-02,9.985048906729457885e-01
2.953490295477602043e-02,1.011006588047536070e+00,1.255978198509856078e-02,9.984468060824454039e-01
2.994341937209514526e-02,1.011408963158544339e+00,1.302308529368246398e-02,9.983858778838907710e-01
3.035758624519786786e-02,1.011829317931756123e+00,1.350736414998758399e-02,9.983219537929964860e-01
3.077748172920653086e-02,1.012268595346199618e+00,1.401372249702068778e-02,9.982548728521093429e-01
3.120318506025765090e-02,1.012727793359147199e+00,1.454332839809467995e-02,9.981844649196514041e-01
3.163477657045424274e-02,1.013207968281193416e+00,1.509741807840131456e-02,9.981105501292211191e-01
3.207233770302479053e-02,1.013710238417786513e+00,1.567730010802107984e-02,9.980329383165938983e-01
3.251595102769188478e-02,1.014235788154849160e+00,1.628435971715105207e-02,9.979514284127600776e-01
3.296570025625362305e-02,1.014785871600309974e+00,1.692006376527491196e-02,9.978658078010513854e-01
3.342167025838031769e-02,1.015361817202631300e+00,1.758596561734966993e-02,9.977758516362968955e-01
3.388394707762974051e-02,1.015965032724608363e+00,1.828371061445993595e-02,9.976813221238525209e-01
3.435261794768401655e-02,1.016597009328989998e+00,1.901504161489051686e-02,9.975819677562324239e-01
3.482777130881098415e-02,1.017259327706909744e+00,1.978180523364446441e-02,9.974775225049633542e-01
3.530949682455316457e-02,1.017953663051684998e+00,2.058595813953701878e-02,9.973677049651694659e-01
3.579788539864781072e-02,1.018681791542519477e+00,2.142957400686901562e-02,9.972522174502719272e-01
3.629302919218078960e-02,1.019445595673573735e+00,2.231485061505969827e-02,9.971307450340740619e-01
3.679502164097771255e-02,1.020247072158753099e+00,2.324411767084977321e-02,9.970029545373809698e-01
3.730395747323583810e-02,1.021088338504227977e+00,2.421984504462230958e-02,9.968684934561709010e-01
3.781993272739953699e-02,1.021971640202679055e+00,2.524465133145679593e-02,9.967269888282259682e-01
3.834304477028331604e-02,1.022899359170992284e+00,2.632131319303053149e-02,9.965780460349966674e-01
3.887339231544530149e-02,1.023874022720860921e+00,2.745277513507307990e-02,9.964212475353561027e-01
3.941107544181487315e-02,1.024898311374755622e+00,2.864215986069498440e-02,9.962561515277813529e-01
3.995619561257811314e-02,1.025975069968154685e+00,2.989277939652655591e-02,9.960822905373856173e-01
4.050885569432430972e-02,1.027107316708963936e+00,3.120814671333909524e-02,9.958991699241092066e-01
4.106915997645726318e-02,1.028298254546200496e+00,3.259198820615524100e-02,9.957062663082865139e-01
4.163721419087527964e-02,1.029551282627494402e+00,3.404825677307139059e-02,9.955030259097037426e-01
4.221312553192320405e-02,1.030870008644768632e+00,3.558114587222432901e-02,9.952888627961863355e-01
4.279700267662039231e-02,1.032258261268736987e+00,3.719510425741702486e-02,9.950631570376942125e-01
4.338895580516866080e-02,1.033720104270940965e+00,3.889485150153099841e-02,9.948252527618557384e-01
4.398909662174375207e-02,1.035259850823422312e+00,4.068539471081408093e-02,9.945744561068392553e-01
4.459753837557429990e-02,1.036882079130663215e+00,4.257204602635260987e-02,9.943100330674892184e-01
4.521439588231263018e-02,1.038591648150344326e+00,4.456044096887152445e-02,9.940312072306577429e-01
4.583978554570081881e-02,1.040393715712184530e+00,4.665655828322314708e-02,9.937371573957652915e-01
4.647382537953673176e-02,1.042293755393330912e+00,4.886674032652487537e-02,9.934270150767335883e-01
4.711663502994369035e-02,1.044297577035280256e+00,5.119771510167288320e-02,9.930998618815851664e-01
