PII_uM,bound_fraction_reference,bound_fraction_tradeoff
4.105190671273078670e-03,4.352895577927407000e-02,1.931142919490969057e-02
4.233179328088211221e-03,4.482523702035746266e-02,1.990152466089657041e-02
4.365158322401660983e-03,4.615825825191618992e-02,2.050927446186225078e-02
4.501252062061336830e-03,4.752894857172888093e-02,2.113518341512750365e-02
4.641588833612782412e-03,4.893825381842963756e-02,2.177976932709428659e-02
4.786300923226385375e-03,5.038713644911949757e-02,2.244356323685110441e-02
4.935524741394806819e-03,5.187657538339769669e-02,2.312710965832259075e-02
5.089400951518088280e-03,5.340756581176935719e-02,2.383096682044889836e-02
5.248074602497728065e-03,5.498111896632670165e-02,2.455570690484453616e-02
5.411695265464637472e-03,5.659826185154130662e-02,2.530191628034744039e-02
5.580417174769963969e-03,5.826003693295034314e-02,2.607019573382962641e-02
5.754399373371566623e-03,5.996750178146700166e-02,2.686116069659820818e-02
5.933805862753280605e-03,6.172172867099795512e-02,2.767544146567292238e-02
6.118805757518218889e-03,6.352380412700726897e-02,2.851368341917991794e-02
6.309573444801930275e-03,6.537482842363051549e-02,2.937654722505608426e-02
6.506288748655573995e-03,6.727591502690824510e-02,3.026470904220716560e-02
6.709137099554111916e-03,6.922818998168804583e-02,3.117886071321420219e-02
6.918309709189362708e-03,7.123279123972561799e-02,3.211970994762967241e-02
7.134003750712564901e-03,7.329086792650864324e-02,3.308798049485005277e-02
7.356422544596413586e-03,7.540357954432994059e-02,3.408441230549664330e-02
7.585775750291835935e-03,7.757209510915087647e-02,3.510976168017904131e-02
7.822279563860029539e-03,7.979759221881772835e-02,3.616480140445561126e-02
8.066156921766135315e-03,8.208125605023472438e-02,3.725032086874606463e-02
8.317637711026708985e-03,8.442427828314862104e-02,3.836712617188954566e-02
8.576958985908945607e-03,8.682785594826329667e-02,3.951604020697693787e-02
8.844365191385998928e-03,8.929319019748942210e-02,4.069790272802426695e-02
9.120108393559096804e-03,9.182148499423252452e-02,4.191357039598751777e-02
