# Fig 8c
Khat2,factor_linear,factor_complementary
570904.2102648701,1.4075517448316495,1.4057965097637952
651392.0923615689,1.3933931436660125,1.3917109890739432
743227.410767084,1.3803217710097915,1.378698383574244
848009.9629593372,1.3682983274561424,1.3667215132709831
967565.0909270133,1.3572781779316183,1.3557376497443727
1103975.4791483302,1.347212391450185,1.3456995612189084
1259617.4355495845,1.3380487832580636,1.3365565622035696
1437202.2874679666,1.3297329339787374,1.3282555422117517
1639823.6137481832,1.3222091604877173,1.3207419481597533
1871011.1357696457,1.3154214153748232,1.313960697060616
2134792.206201006,1.309314095819778,1.307856999306455
2435761.9666341124,1.303832747624412,1.302377077944583
2779163.3962629344,1.2989246559666163,1.297468774921662
3170978.646078822,1.2945393201596294,1.2930820411529018
3618033.249649442,1.2906288149525436,1.2891693125185903
4128115.0258630295,1.2871480452456565,1.2856857783343423
4710109.744958101,1.2840549043232243,1.2825895521687336
5374155.921178827,1.2813103478437124,1.2798417570513132
6131821.428589316,1.278878396666259,1.2774065382516113
6996305.016743913,1.2767260819523847,1.275251016817917
7982666.236674258,1.2748233450950606,1.2733451967761764
9108087.782570178,1.2731429041224611,1.271661837543652
10392174.819219943,1.2716600967491098,1.2701763019439272
11857296.509581355,1.2703527087573756,1.268866388613101
13528975.691989217,1.2692007948605672,1.2677121560862856
15436333.495289933,1.2681864977632555,1.2666957444054145
17612596.637223806,1.267293869840399,1.265801198782612
20095676.243338276,1.2665087006807911,1.2650142986849513
22928828.26962467,1.2658183528755822,1.2643223947604667
26161407.03362572,1.2652116075228894,1.2637142552192617
29849724.980745587,1.2646785203696158,1.2631799226013436
34058033.663133204,1.2642102889912634,1.2627105814048956
38859643.02007219,1.2637991310380727,1.2622984366405208
44338198.45806499,1.26343817324284,1.261936603101962
50589137.977703646,1.2631213511043557,1.2616190048781213
57721354.730903275,1.2628433177966212,1.2613402849132949
65859093.97070891,1.2625993628339756,1.261095723108395
75144117.43909514,1.2623853389239992,1.2608811634598065
85738172.89700241,1.2621975966668912,1.260692948670802
97825811.8165309,1.2620329263549497,1.260527861909827
111617604.3203036,1.2618885062111038,1.2603830749998186
127353807.37314244,1.2617618564404276,1.2602561024145682
145308550.12702668,1.2616507985063083,1.2601447605019143
165794609.3292193,1.2615534190894337,1.2600471313861403
189168857.9825395,1.261468038229114,1.2599615310573777
215838482.17501628,1.2613931811920986,1.259886481191004
246268074.37783656,1.2613275536564685,1.2598206842841926
280987726.7789101,1.2612700198370532,1.2597630017381178
320602265.6401801,1.261219583217034,1.2597124345506479
365801787.54387975,1.2611753695878882,1.259668106319729
417373681.0721051,1.261136612126254,1.2596292482881595
476216343.34080887,1.261102638272248,1.2595951861921295
543354830.3341973,1.2610728581949313,1.2595653286997517
619958713.672736,1.26104675465555,1.2595391572526653
707362454.8848767,1.2610238741057578,1.2595162171412944
807088652.1080409,1.2610038188690607,1.259496109667887
920874564.183058,1.2609862402754901,1.259478485265689
1050702374.1994395,1.2609708326375098,1.2594630374588767
1198833719.6909196,1.2609573279619959,1.2594494975623447
1367849091.00736,1.2609454913102258,1.2594376300293855
1560692784.1936452,1.2609351167278153,1.259427228372355
1780724191.4678483,1.2609260236733495,1.2594181115815735
2031776322.7932014,1.2609180538867766,1.2594101209864021
2318222578.0064406,1.2609110686426837,1.2594031175006735
2645052932.6922684,1.2609049463410709,1.2593969792077349
3017960864.9832053,1.2608995803942684,1.2593915992433748
3443442537.575044,1.2608948773763444,1.2593868839379232
3928909962.7364917,1.2608907553974587,1.2593827511887095
4482820121.679909,1.2608871426814507,1.2593791290316951
5114822287.589856,1.2608839763163375,1.2593759543913805
5835926118.717851,1.260881201160663,1.2593731719822792
6658693449.774163,1.2608787688834937,1.2593707333475315
7597457122.676197,1.2608766371243088,1.259368596015958
8668570668.74898,1.260874768755218,1.2593667227624756
9890693191.911863,1.2608731312346715,1.2593650809610155
11285114415.598206,1.2608716960413429,1.2593636420155092
12876125555.819214,1.2608704381772304,1.2593623808627605
14691442481.084568,1.2608693357326741,1.259361275535905
16762688530.749111,1.2608683695050593,1.2593603067818941
19125945402.616905,1.2608675226638268,1.2593594577265368
21822381706.422626,1.2608667804583769,1.2593587135802955
24898970132.773384,1.2608661299598307,1.2593580613809978
28409305730.834763,1.2608655598374494,1.2593574897676751
32414539549.397133,1.2608650601597728,1.2593569887833969
36984443905.61199,1.260864622222666,1.2593565497012231
42198627838.68509,1.2608642383978257,1.25935616487262
48147923922.08058,1.2608639019989125,1.259355827594123
54935970592.893005,1.2608636071659114,1.2593555319901275
62681017563.0272,1.2608633487631151,1.2593552729117268
