G_mM,U,p0,p1,p2,p3,variance
1.160916570541350654e-02,2.966698715816369347e+00,1.367789230366996884e-06,3.655551417352111794e-04,3.256607053246923789e-02,9.670670065365651880e-01,3.293162567420537812e-02
1.177900053077110543e-02,2.966668709426432571e+00,1.371489935373924108e-06,3.662105072937423922e-04,3.259475508917393516e-02,9.670376629135969404e-01,3.296096559646777280e-02
1.195131993328404051e-02,2.966637811385159917e+00,1.375307577610373685e-06,3.668859536578979934e-04,3.262429078479178735e-02,9.670074479539727541e-01,3.299117673844875753e-02
1.212616026076042235e-02,2.966605995219711467e+00,1.379246056271681006e-06,3.675821135864985835e-04,3.265470281494683297e-02,9.669763358254104268e-01,3.302228492853309660e-02
1.230355839275401424e-02,2.966573233672662457e+00,1.383309412535760834e-06,3.682996407965350208e-04,3.268601711750686312e-02,9.669442999322840349e-01,3.305431675830305949e-02
1.248355174834338450e-02,2.966539498678829379e+00,1.387501835409708185e-06,3.690392107151171095e-04,3.271826039423382515e-02,9.669113128932156354e-01,3.308729960495071509e-02
1.266617829402476129e-02,2.966504761341425933e+00,1.391827667852558405e-06,3.698015212613896892e-04,3.275146013304783971e-02,9.668773465180229287e-01,3.312126165430839819e-02
1.285147655172047022e-02,2.966468991907509345e+00,1.396291413190301577e-06,3.705872936599870280e-04,3.278564463093110865e-02,9.668423717839956799e-01,3.315623192459149493e-02
1.303948560690441558e-02,2.966432159742717900e+00,1.400897741838030644e-06,3.713972732872888849e-04,3.282084301748201122e-02,9.668063588114889084e-01,3.319224029077005866e-02
1.323024511684653404e-02,2.966394233305265082e+00,1.405651498345799055e-06,3.722322305519499912e-04,3.285708527913609733e-02,9.667692768388136404e-01,3.322931750968827203e-02
1.342379531897776833e-02,2.966355180119170765e+00,1.410557708786947180e-06,3.730929618114557276e-04,3.289440228408007511e-02,9.667310941963996873e-01,3.326749524589267537e-02
1.362017703937750714e-02,2.966314966746710358e+00,1.415621588506944570e-06,3.739802903262221499e-04,3.293282580787167818e-02,9.666917782802135761e-01,3.330680609819935967e-02
1.381943170138508897e-02,2.966273558760062379e+00,1.420848550252223279e-06,3.748950672528958330e-04,3.297238855978096295e-02,9.666512955244158656e-01,3.334728362703387461e-02
1.402160133433739964e-02,2.966230920712119801e+00,1.426244212701623725e-06,3.758381726789341692e-04,3.301312420988389285e-02,9.666096113732244310e-01,3.338896238256516824e-02
1.422672858243417826e-02,2.966187016106462071e+00,1.431814409420462563e-06,3.768105166999570640e-04,3.305506741690975719e-02,9.665666902519808312e-01,3.343187793361046545e-02
1.443485671373313795e-02,2.966141807366433625e+00,1.437565198264199713e-06,3.778130405424393696e-04,3.309825385688681953e-02,9.665224955373724613e-01,3.347606689742832486e-02
1.464602962927654892e-02,2.966095255803335551e+00,1.443502871253961614e-06,3.788467177333294865e-04,3.314272025258435672e-02,9.664769895268110478e-01,3.352156697031638544e-02
1.486029187235147347e-02,2.966047321583682894e+00,1.449633964952230652e-06,3.799125553190817791e-04,3.318850440378364602e-02,9.664301334069322902e-01,3.356841695910439682e-02
1.507768863788534752e-02,2.965997963695509387e+00,1.455965271367724351e-06,3.810115951365294147e-04,3.323564521840344926e-02,9.663818872211886735e-01,3.361665681354075730e-02
1.529826578197912394e-02,2.965947139913691188e+00,1.462503849417390162e-06,3.821449151376531627e-04,3.328418274448514264e-02,9.663322098365277890e-01,3.366632765962229712e-02
1.552206983157976804e-02,2.965894806764259872e+00,1.469257036981209382e-06,3.833136307714452018e-04,3.333415820308618244e-02,9.662810589091054281e-01,3.371747183385842561e-02
1.574914799429438100e-02,2.965840919487683358e+00,1.476232463580087409e-06,3.845188964249107895e-04,3.338561402207641110e-02,9.662283908490351125e-01,3.377013291849806365e-02
1.597954816834776942e-02,2.965785432001073030e+00,1.483438063716167166e-06,3.857619069265941355e-04,3.343859387088307655e-02,9.661741607841266566e-01,3.382435577780817937e-02
1.621331895268579917e-02,2.965728296859297952e+00,1.490882090912834521e-06,3.870438991153995925e-04,3.349314269619862311e-02,9.661183225225951077e-01,3.388018659531510934e-02
1.645050965722646974e-02,2.965669465214972433e+00,1.498573132495299853e-06,3.883661534778458987e-04,3.354930675867449918e-02,9.660608285147151975e-01,3.393767291215077364e-02
1.669117031326100911e-02,2.965608886777275188e+00,1.506520125156647888e-06,3.897299958572891646e-04,3.360713367063476037e-02,9.660016298133827783e-01,3.399686366649135039e-02
1.693535168400711263e-02,2.965546509769586336e+00,1.514732371354193057e-06,3.911367992383380995e-04,3.366667243482281136e-02,9.659406760335674802e-01,3.405780923406176441e-02
1.718310527531657569e-02,2.965482280885889832e+00,1.523219556587300122e-06,3.925879856104402279e-04,3.372797348421952696e-02,9.658779153106133997e-01,3.412056146983033500e-02
