G_mM,U,p0,p1,p2,p3,variance
1.177900053077110543e-02,2.966668709426432571e+00,1.903481271694179923e-06,4.305652283287439821e-04,3.246444967309494029e-02,9.671030816173046274e-01,3.309286698655533598e-02
1.195131993328404051e-02,2.966637811385159473e+00,1.908779750605110030e-06,4.313585611870211279e-04,3.249374515321462598e-02,9.670729875058476921e-01,3.312332278654572804e-02
1.212616026076042235e-02,2.966605995219711467e+00,1.914245937543407116e-06,4.321762204055746410e-04,3.252390960166485351e-02,9.670419999319920246e-01,3.315468314145952888e-02
1.230355839275401424e-02,2.966573233672662457e+00,1.919885441231652977e-06,4.330189735774480101e-04,3.255496872385908042e-02,9.670100924171222134e-01,3.318697488003685692e-02
1.248355174834338450e-02,2.966539498678829823e+00,1.925704075563374005e-06,4.338876137790635863e-04,3.258694898138559531e-02,9.669772377007597175e-01,3.322022562451643068e-02
1.266617829402476129e-02,2.966504761341425489e+00,1.931707868100998329e-06,4.347829604875698894e-04,3.261987761399473551e-02,9.669434077176495279e-01,3.325446381396623963e-02
1.285147655172047022e-02,2.966468991907509345e+00,1.937903068979174131e-06,4.357058605351184677e-04,3.265378266221361653e-02,9.669085735741822507e-01,3.328971872827501954e-02
1.303948560690441558e-02,2.966432159742717900e+00,1.944296160234196358e-06,4.366571891015697611e-04,3.268869299059826150e-02,9.668727055241399526e-01,3.332602051290756151e-02
1.323024511684653404e-02,2.966394233305265082e+00,1.950893865583210466e-06,4.376378507474454164e-04,3.272463831164340586e-02,9.668357729437435655e-01,3.336340020428174569e-02
1.342379531897776833e-02,2.966355180119170765e+00,1.957703160678154842e-06,4.386487804890224569e-04,3.276164921036925359e-02,9.667977443059810883e-01,3.340188975595914656e-02
1.362017703937750714e-02,2.966314966746710358e+00,1.964731283860500017e-06,4.396909449174968548e-04,3.279975716960317061e-02,9.667585871541954923e-01,3.344152206555328632e-02
1.381943170138508897e-02,2.966273558760062823e+00,1.971985747443009239e-06,4.407653433640339007e-04,3.283899459596699433e-02,9.667182680749215606e-01,3.348233100243724891e-02
1.402160133433739964e-02,2.966230920712120245e+00,1.979474349550778386e-06,4.418730091132717312e-04,3.287939484660459127e-02,9.666767526699325819e-01,3.352435143625065450e-02
1.422672858243417826e-02,2.966187016106461627e+00,1.987205186548216001e-06,4.430150106668551482e-04,3.292099225664466694e-02,9.666340055275018939e-01,3.356761926620777103e-02
1.443485671373313795e-02,2.966141807366433181e+00,1.995186666090406040e-06,4.441924530601598013e-04,3.296382216744791344e-02,9.665899901928257654e-01,3.361217145127248784e-02
1.464602962927654892e-02,2.966095255803335107e+00,2.003427520829421905e-06,4.454064792340130664e-04,3.300792095563421374e-02,9.665446691376109456e-01,3.365804604121791499e-02
1.486029187235147347e-02,2.966047321583683338e+00,2.011936822814580694e-06,4.466582714642768981e-04,3.305332606291980224e-02,9.664980037287931314e-01,3.370528220854041024e-02
1.507768863788534752e-02,2.965997963695509387e+00,2.020723998627086022e-06,4.479490528521622660e-04,3.310007602679038846e-02,9.664499541963588181e-01,3.375392028133461508e-02
1.529826578197912394e-02,2.965947139913691188e+00,2.029798845288388431e-06,4.492800888777589204e-04,3.314821051201724544e-02,9.664004796002596542e-01,3.380400177707976184e-02
1.552206983157976804e-02,2.965894806764259872e+00,2.039171546990710287e-06,4.506526890203695762e-04,3.319777034305836094e-02,9.663495377963742250e-01,3.385556943741541147e-02
1.574914799429438100e-02,2.965840919487683358e+00,2.048852692692603069e-06,4.520682084481574665e-04,3.324879753734260451e-02,9.662970854015165978e-01,3.390866726392083308e-02
1.597954816834776942e-02,2.965785432001072586e+00,2.058853294634014829e-06,4.535280497810581534e-04,3.330133533948134023e-02,9.662430777574430030e-01,3.396334055490513038e-02
