G_mM,U,p0,p1,p2,p3,variance
6.588873899373035546e-03,2.967386131552041117e+00,2.024709800455809015e-08,8.938309453273399793e-05,3.243504151760259052e-02,9.674755551407676624e-01,3.172909170446480687e-02
6.685264998991968799e-03,2.967376557985158314e+00,2.026523163354699219e-08,8.943616183322505929e-05,3.244450889548369799e-02,9.674660346774525133e-01,3.173814696099519495e-02
6.783066240044423496e-03,2.967366699773954064e+00,2.028391591522691559e-08,8.949082376857276310e-05,3.245425772676566872e-02,9.674562311655512392e-01,3.174747129342492258e-02
6.882298252016637828e-03,2.967356548458424559e+00,2.030316791376416510e-08,8.954712874905472702e-05,3.246429637457577677e-02,9.674461361935079440e-01,3.175707268952976392e-02
6.982981966191297192e-03,2.967346095327374478e+00,2.032300524253244364e-08,8.960512668376092765e-05,3.247463345024752257e-02,9.674357411000651386e-01,3.176695937364470979e-02
7.085138620062668251e-03,2.967335331410940746e+00,2.034344608298051456e-08,8.966486902868871917e-05,3.248527782066336356e-02,9.674250369668618843e-01,3.177713981376228958e-02
7.188789761816253426e-03,2.967324247472979071e+00,2.036450920422239283e-08,8.972640883649943245e-05,3.249623861581690115e-02,9.674140146108363147e-01,3.178762272854918081e-02
7.293957254874025749e-03,2.967312834000152222e+00,2.038621398907782788e-08,8.978980082462864674e-05,3.250752523956101231e-02,9.674026645734017382e-01,3.179841709767039504e-02
7.400663282506108817e-03,2.967301081189857470e+00,2.040858046268167843e-08,8.985510145034917879e-05,3.251914738150045447e-02,9.673909771084687748e-01,3.180953217317394888e-02
7.508930352509999955e-03,2.967288978956931889e+00,2.043162928591212142e-08,8.992236888258480789e-05,3.253111501041882486e-02,9.673789421890705009e-01,3.182097747292012002e-02
7.618781301958174428e-03,2.967276516917490614e+00,2.045538179237441993e-08,8.999166310038015997e-05,3.254343839016261841e-02,9.673665494913549212e-01,3.183276279595048663e-02
7.730239302015187892e-03,2.967263684379481070e+00,2.047986001331881600e-08,9.006304595548923243e-05,3.255612808902972471e-02,9.673537883851553998e-01,3.184489823117964136e-02
7.843327862825199073e-03,2.967250470333508527e+00,2.050508670224807192e-08,9.013658123339856145e-05,3.256919498876870156e-02,9.673406479249126999e-01,3.185739416609401076e-02
7.958070838471080141e-03,2.967236863443482697e+00,2.053108536047366191e-08,9.021233471642781554e-05,3.258265029383335815e-02,9.673271168403664300e-01,3.187026129543113484e-02
8.074492432005990830e-03,2.967222852036947245e+00,2.055788026369370726e-08,9.029037424907260050e-05,3.259650554091244462e-02,9.673131835269578316e-01,3.188351063024441601e-02
8.192617200558615850e-03,2.967208424095162389e+00,2.058549648961946877e-08,9.037076980561868146e-05,3.261077260873388589e-02,9.672988360359628945e-01,3.189715350711175290e-02
8.312470060513027503e-03,2.967193567242845109e+00,2.061395994670918581e-08,9.045359356015370120e-05,3.262546372815704199e-02,9.672840620643236020e-01,3.191120159777938170e-02
8.434076292764424235e-03,2.967178268726609947e+00,2.064329742520989465e-08,9.053892002056364535e-05,3.264059150346138721e-02,9.672688489332221806e-01,3.192566692942477857e-02
8.557461548051658456e-03,2.967162515412727686e+00,2.067353661187555566e-08,9.062682605584703930e-05,3.265616891454883181e-02,9.672531835858579896e-01,3.194056188658755957e-02
8.682651852367847742e-03,2.967146293789728606e+00,2.070470609595097049e-08,9.071739089719630430e-05,3.267220931436255055e-02,9.672370525900354510e-01,3.195589920854402521e-02
8.809673612450058186e-03,2.967129589945425749e+00,2.073683542474031648e-08,9.081069628222182707e-05,3.268872645150740913e-02,9.672204421153762777e-01,3.197169201098937208e-02
8.938553621349419956e-03,2.967112389555150553e+00,2.076995513869486777e-08,9.090682653843234215e-05,3.270573448191040067e-02,9.672033379215970728e-01,3.198795379687879858e-02
9.069319064082610043e-03,2.967094677869552388e+00,2.080409680794353781e-08,9.100586866970848492e-05,3.272324798081534258e-02,9.671857253464173354e-01,3.200469846786546668e-02
9.201997523366088269e-03,2.967076439702104107e+00,2.083929307033204036e-08,9.110791244588044237e-05,3.274128195512098632e-02,9.671675892931387297e-01,3.202194033586458488e-02
9.336616985434162061e-03,2.967057659413315118e+00,2.087557767662151396e-08,9.121305051169782024e-05,3.275985185892590912e-02,9.671489142149838347e-01,3.203969413785046072e-02
9.473205845942243505e-03,2.967038320876056012e+00,2.091298557329200439e-08,9.132137860317596592e-05,3.277897362778023349e-02,9.671296840806309358e-01,3.205797506839580535e-02
9.611792915956403685e-03,2.967018407504100619e+00,2.095155286413028817e-08,9.143299541126357613e-05,3.279866365041673310e-02,9.671098824026186369e-01,3.207679875247571033e-02
9.752407428030575656e-03,2.966997902226097050e+00,2.099131687817596377e-08,9.154800275228346617e-05,3.281893879444406498e-02,9.670894922114855463e-01,3.209618126983926345e-02
9.895079042372622105e-03,2.966976787465031684e+00,2.103231622827474813e-08,9.166650570926907025e-05,3.283981642659684203e-02,9.670684960353763682e-01,3.211613917416400454e-02
1.003983785310070750e-02,2.966955045123355283e+00,2.107459085990090316e-08,9.178861274324429619e-05,3.286131442738284697e-02,9.670468758852820423e-01,3.213668950688131076e-02
1.018671439459109714e-02,2.966932656566797277e+00,2.111818210382346807e-08,9.191443581364853056e-05,3.288345120703035224e-02,9.670246132389742622e-01,3.215784981219016458e-02
1.033573964791884535e-02,2.966909602576521365e+00,2.116313279188547892e-08,9.204409067864128744e-05,3.290624575271914459e-02,9.670016889934681670e-01,3.217963818199542914e-02
1.048694504739275911e-02,2.966885863379259636e+00,2.120948722250036284e-08,9.217769675940725924e-05,3.292971759875561177e-02,9.669780834949963655e-01,3.220207322705448405e-02
1.064036248718587714e-02,2.966861418633085279e+00,2.125729121356990444e-08,9.231537725492853564e-05,3.295388684053410233e-02,9.669537765249207606e-01,3.222517409015424050e-02
