G_mM,J_minus_0p7,J_0,J_plus_0p7
1.806780916778379653e-01,2.769713135373801371e+00,2.734625516746979734e+00,2.733648258895616578e+00
1.833212990300890355e-01,2.763049937357555663e+00,2.728353490937283077e+00,2.727818925361080282e+00
1.860031748508970406e-01,2.756170251596913978e+00,2.721930875386056048e+00,2.721843463775278860e+00
1.887242848357455205e-01,2.749070507343325254e+00,2.715355039210108679e+00,2.715718555237114362e+00
1.914852029558882229e-01,2.741747331123520759e+00,2.708623359238590211e+00,2.709440850809808676e+00
1.942865115794194242e-01,2.734197566140417202e+00,2.701733223513576920e+00,2.703006975206295959e+00
1.971288015941135841e-01,2.726418291708540664e+00,2.694682034960975692e+00,2.696413530806460734e+00
2.000126725320637011e-01,2.718406842576469806e+00,2.687467215233160012e+00,2.689657102018337298e+00
2.029387326961414884e-01,2.710160827976644704e+00,2.680086208724265617e+00,2.682734259995014803e+00
2.059075992883092343e-01,2.701678150231231701e+00,2.672536486758511742e+00,2.675641567718086922e+00
2.089198985398071640e-01,2.692957022732565875e+00,2.664815551951378758e+00,2.668375585457726462e+00
2.119762658432464142e-01,2.683995987107777204e+00,2.656920942742815761e+00,2.660932876618378629e+00
2.150773458866345467e-01,2.674793929370104628e+00,2.648850238101032151e+00,2.653310013977886683e+00
2.182237927893605489e-01,2.665350094854370244e+00,2.640601062394646092e+00,2.645503586326507950e+00
2.214162702401709371e-01,2.655664101731588289e+00,2.632171090430272198e+00,2.637510205510730454e+00
2.246554516371626065e-01,2.645735952897699139e+00,2.623558052651781658e+00,2.629326513885074768e+00
2.279420202298253761e-01,2.635566046034434340e+00,2.614759740496637175e+00,2.620949192173132491e+00
2.312766692631609278e-01,2.625155181646833036e+00,2.605774011903801757e+00,2.612374967737021159e+00
2.346601021239116402e-01,2.614504568891298675e+00,2.596598796966790079e+00,2.603600623252082968e+00
2.380930324889270200e-01,2.603615829021730832e+00,2.587232103724450560e+00,2.594623005781171887e+00
2.415761844757026156e-01,2.592490996297781791e+00,2.577672024081046231e+00,2.585439036240189559e+00
2.451102927951189503e-01,2.581132516220201012e+00,2.567916739846173968e+00,2.576045719243602594e+00
2.486961029064172213e-01,2.569543240982100407e+00,2.557964528883934108e+00,2.566440153315642014e+00
2.523343711744400752e-01,2.557726422052701398e+00,2.547813771359734858e+00,2.556619541449607791e+00
2.560258650291747928e-01,2.545685699840781968e+00,2.537462956071867115e+00,2.546581201994314814e+00
2.597713631276281632e-01,2.533425090418731429e+00,2.526910686853961696e+00,2.536322579843135028e+00
2.635716555180721565e-01,2.520948969324065647e+00,2.516155689033197973e+00,2.525841257897433412e+00
2.674275438066895938e-01,2.508262052493265504e+00,2.505196815927988485e+00,2.515134968772390067e+00
2.713398413266605580e-01,2.495369374422029107e+00,2.494033055367724128e+00,2.504201606709345107e+00
2.753093733097194962e-01,2.482276263686036266e+00,2.482663536215981903e+00,2.493039239654878170e+00
2.793369770602252555e-01,2.468988315996142102e+00,2.471087534877482561e+00,2.481646121462900645e+00
2.834235021317744740e-01,2.455511365001163959e+00,2.459304481767981443e+00,2.470020704172159132e+00
2.875698105064015131e-01,2.441851451088805636e+00,2.447313967725168737e+00,2.458161650307651769e+00
2.917767767763976838e-01,2.428014788470677754e+00,2.435115750337711660e+00,2.446067845150760256e+00
2.960452883287923997e-01,2.414007730869261792e+00,2.422709760168490600e+00,2.433738408919289054e+00
3.003762455325312830e-01,2.399836736153103445e+00,2.410096106847304132e+00,2.421172708795214845e+00
3.047705619283942458e-01,2.385508330290197598e+00,2.397275085007390061e+00,2.408370370734813637e+00
3.092291644216903501e-01,2.371029071008278422e+00,2.384247180039448022e+00,2.395331290993002238e+00
3.137529934777735230e-01,2.356405511563810062e+00,2.371013073636187407e+00,2.382055647291246192e+00
3.183430033204163734e-01,2.341644165028643254e+00,2.357573649099907520e+00,2.368543909556318994e+00
3.230001621330884087e-01,2.326751469504238390e+00,2.343929996385210934e+00,2.354796850155610244e+00
3.277254522631764533e-01,2.311733754667911089e+00,2.330083416848714339e+00,2.340815553553566186e+00
