G_mM,U,p0,p1,p2,p3,variance
3.932106079581847158e-02,2.955923601110145515e+00,1.625165658960786683e-04,2.172165014637516232e-03,3.924451916289366238e-02,9.584207992565734191e-01,4.745309937540298506e-02
3.989630329494302241e-02,2.955574818151083250e+00,1.660706672815658730e-04,2.203481751543949659e-03,3.952000634398283169e-02,9.581104412371912460e-01,4.785497257338988675e-02
4.047996123164993021e-02,2.955215763835560505e+00,1.697780955451415547e-04,2.235906834126695844e-03,3.980308820955095334e-02,9.577912268607772228e-01,4.826909059712924943e-02
4.107215771852183034e-02,2.954846138782715403e+00,1.736464377769767625e-04,2.269482750544700791e-03,4.009395640286474854e-02,9.574629144088137034e-01,4.869583416220457650e-02
4.167301766920133294e-02,2.954465635080107067e+00,1.776837003161367188e-04,2.304253728039634685e-03,4.039280636286467219e-02,9.571252562087793070e-01,4.913559618921325978e-02
4.228266782473941165e-02,2.954073936040740644e+00,1.818983336919036435e-04,2.340265806194533667e-03,4.069983734579707413e-02,9.567779985143173294e-01,4.958878222300455718e-02
4.290123678032931737e-02,2.953670715957926074e+00,1.862992590456254312e-04,2.377566912646005004e-03,4.101525243964571771e-02,9.564208813886628802e-01,5.005581086178700900e-02
4.352885501243143607e-02,2.953255639858602066e+00,1.908958961127985834e-04,2.416206941246180125e-03,4.133925857056441888e-02,9.560536385920757052e-01,5.053711419554396400e-02
4.416565490629506541e-02,2.952828363255569410e+00,1.956981928491619688e-04,2.456237832668440278e-03,4.167206650054519623e-02,9.556759974739368335e-01,5.103313825371635915e-02
4.481177078388276502e-02,2.952388531899463153e+00,2.007166567850916523e-04,2.497713657418243471e-03,4.201389081534604580e-02,9.552876788704508515e-01,5.154434346139247225e-02
4.546733893220339384e-02,2.951935781531171532e+00,2.059623881973512082e-04,2.540690701213379858e-03,4.236494990180855041e-02,9.548883970087802542e-01,5.207120510342022612e-02
4.613249763205937160e-02,2.951469737635613821e+00,2.114471151875697114e-04,2.585227552663638649e-03,4.272546591349830197e-02,9.544778594186511533e-01,5.261421379567643442e-02
4.680738718721467323e-02,2.950990015196363725e+00,2.171832307766626425e-04,2.631385193303385859e-03,4.309566472469768261e-02,9.540557668512216205e-01,5.317387596445399822e-02
4.749214995398945427e-02,2.950496218140713722e+00,2.231838359281341209e-04,2.679227120171400345e-03,4.347577611115806262e-02,9.536218129327420634e-01,5.375071469682701775e-02
4.818693037128776030e-02,2.949987939311674356e+00,2.294627786369996230e-04,2.728819420513528896e-03,4.386603351138856910e-02,9.531756842894613113e-01,5.434526998688049559e-02
4.889187499106437823e-02,2.949464760450101863e+00,2.360346950157642435e-04,2.780230847074216614e-03,4.426667377070317433e-02,9.527170606872070735e-01,5.495809897777270692e-02
