top,bottom,logmid,h
2.895455377554029042e+00,3.334355190537268698e-01,-4.612622481145574049e-01,1.805833161362737638e+00
2.915018208392431642e+00,3.921664049316094802e-01,-5.682179645139989743e-01,2.007390131860481208e+00
2.999998999999999416e+00,3.937958440122295012e-01,-5.368634004573676899e-01,1.957074239289352313e+00
2.890869553018640570e+00,4.163758462351318523e-01,-5.478369530696369782e-01,1.970267060576546658e+00
2.999998999999999416e+00,4.585362580965475221e-01,-5.541435321959280458e-01,1.890208100155301718e+00
2.982834942949350143e+00,5.200719425659185990e-01,-6.377869839288131670e-01,1.930634241472050538e+00
2.980861781172282399e+00,3.905674690723965337e-01,-5.890463375247128042e-01,1.995113228683339957e+00
2.955792657633339982e+00,4.427202769780045899e-01,-5.588502421859140590e-01,1.820183358947336849e+00
2.897734931828180649e+00,4.977045669282276208e-01,-5.695632914646088230e-01,1.989183357349512571e+00
2.926307258700941993e+00,5.193678778440751209e-01,-5.908045729091140341e-01,2.250246059261999498e+00
2.999998999999999416e+00,4.842816541664640706e-01,-6.311647548898556837e-01,1.972488793554690645e+00
2.999998999999999416e+00,4.184293497931173000e-01,-5.634262750853499258e-01,2.114425108145031817e+00
2.989265348317237780e+00,4.627071354681117077e-01,-6.080043419132344917e-01,2.187830334645006314e+00
2.977854224546516271e+00,5.120215104329707279e-01,-5.890761344955677270e-01,2.093320042462651909e+00
2.908116371656145116e+00,4.899192608684829198e-01,-5.162582857160463723e-01,2.310439213904337041e+00
2.999998999999999416e+00,4.146521625326703986e-01,-5.583214902912643218e-01,1.984860740804003765e+00
2.999998999999999416e+00,4.347053453365991582e-01,-5.830325232831398141e-01,1.988320190363019879e+00
2.893386084220570531e+00,4.782597691820222874e-01,-5.367287591565433891e-01,2.102015464662541966e+00
2.995764405681791587e+00,4.294334480204948234e-01,-5.464444747698630200e-01,1.890377298416424656e+00
2.999998999999999416e+00,4.170407453613294013e-01,-5.709466719677155355e-01,2.328792874061698548e+00
2.913014418144571405e+00,4.478665609912775847e-01,-5.702692434502234509e-01,2.281701194428320090e+00
2.926748089672636777e+00,5.649351009800018808e-01,-6.473275771952415880e-01,2.427897889398380915e+00
2.983256618527391435e+00,5.221436545874929003e-01,-6.144423408586345836e-01,2.196668414677647618e+00
2.999998999999999416e+00,4.913466235599733278e-01,-6.553739433186085428e-01,2.026081309871365033e+00
2.975867060406667264e+00,3.649858284042400980e-01,-4.937468748984891742e-01,1.758750667521165933e+00
2.911150628625863490e+00,5.746726952850411685e-01,-5.046167072746545745e-01,2.603302934458560092e+00
2.983754110656843483e+00,5.307137210114144521e-01,-6.336575871454788178e-01,2.139404227451137341e+00
2.999998999999999416e+00,4.264696259476105644e-01,-5.223955821477429540e-01,1.902235985904112470e+00
2.992341309654916515e+00,4.209006875678674708e-01,-5.017579029545846669e-01,2.046243121418665822e+00
2.972599444478335240e+00,4.208103453983580433e-01,-5.757416154763609351e-01,2.179167175757988684e+00
2.994425888960709603e+00,3.867880846085848257e-01,-6.107905025911170016e-01,1.807172828781031138e+00
2.956197548204824610e+00,4.223620181730345924e-01,-5.879796031981168181e-01,1.943958815951172925e+00
2.980467332574587846e+00,5.508867068476782647e-01,-5.972244135553668176e-01,2.405245719784856018e+00
2.931362224907733793e+00,4.235677730420867038e-01,-5.083772653270705044e-01,2.080607580183091887e+00
2.926940316927403529e+00,4.043342416015472396e-01,-4.776153686527037645e-01,2.069764263028054607e+00
2.998659060429929468e+00,3.771895059058387734e-01,-5.253057389211936989e-01,1.990974753698776967e+00
2.916823303528818911e+00,3.973536338839120385e-01,-5.229909666987950789e-01,2.240070945479823994e+00
2.932096704428036382e+00,4.863734512063079274e-01,-5.586963644066547108e-01,1.969036600009652194e+00
2.999998999999999416e+00,4.318907456647829712e-01,-5.810557642579271542e-01,1.699088543306148003e+00
2.880722272117177241e+00,4.312732106762123818e-01,-5.334909936786512707e-01,1.845032978877627405e+00
2.953451881912274590e+00,5.232321173376396350e-01,-6.033030499546622183e-01,2.059653879491283757e+00
2.990715417144819366e+00,5.410083486797783170e-01,-6.253696586023935744e-01,2.454420495327636953e+00
2.957670630563548286e+00,4.803397573562599443e-01,-5.614836124205322410e-01,2.184646639829934678e+00
2.981715572208941900e+00,4.449811194209309373e-01,-5.289758595494383764e-01,1.946620598593974183e+00
2.878905872259109433e+00,3.549188503282736384e-01,-4.631939041996566142e-01,1.843294614123349495e+00
2.950481334089655849e+00,4.654192899963901509e-01,-5.805596067245326619e-01,2.169148448352725467e+00
2.908869189379603259e+00,5.237694147399150069e-01,-6.168348662990077447e-01,2.222633505309405066e+00
