draw,model,n_0p5,n_5,n_36
4.000000000000000000e+01,1.000000000000000000e+00,2.464709091111207506e+00,2.530868796575846513e+00,3.098151101474401869e+00
4.000000000000000000e+01,2.000000000000000000e+00,5.729420878317550425e+00,6.172176659417733191e+00,5.826652588275277544e+00
4.000000000000000000e+01,3.000000000000000000e+00,3.530862011154356939e+00,3.744829077137646678e+00,4.688372805464938509e+00
4.100000000000000000e+01,0.000000000000000000e+00,3.194759012259682063e+00,3.386930039648101243e+00,4.645391692074132273e+00
4.100000000000000000e+01,1.000000000000000000e+00,2.267006354902273202e+00,2.331170553701797044e+00,3.025082787448480470e+00
4.100000000000000000e+01,2.000000000000000000e+00,5.126200980055628520e+00,5.547765333006323907e+00,5.965015324820218900e+00
4.100000000000000000e+01,3.000000000000000000e+00,3.194759012258854280e+00,3.386930039648100799e+00,4.645391692074077206e+00
4.200000000000000000e+01,0.000000000000000000e+00,3.379274023859095699e+00,3.596642585080072507e+00,5.000477446866050890e+00
4.200000000000000000e+01,1.000000000000000000e+00,2.406485168660013496e+00,2.478547897078863915e+00,3.278549782985265448e+00
4.200000000000000000e+01,2.000000000000000000e+00,5.403602651731106654e+00,5.886830859497031554e+00,6.313699489004302556e+00
4.200000000000000000e+01,3.000000000000000000e+00,3.379274023859958120e+00,3.596642585080885635e+00,5.000477446866099740e+00
4.300000000000000000e+01,0.000000000000000000e+00,3.579845611466362154e+00,3.797570163358151785e+00,4.481792730889980980e+00
4.300000000000000000e+01,1.000000000000000000e+00,2.623636720342178208e+00,2.680304683788987674e+00,3.008872174055113202e+00
4.300000000000000000e+01,2.000000000000000000e+00,5.533139360557482789e+00,6.108503445010552646e+00,5.691442936857098900e+00
4.300000000000000000e+01,3.000000000000000000e+00,3.579845611466362154e+00,3.797570163358150008e+00,4.481792730889952558e+00
4.400000000000000000e+01,0.000000000000000000e+00,3.592651282108045407e+00,3.844660547959237284e+00,5.501214853446923847e+00
4.400000000000000000e+01,1.000000000000000000e+00,2.595365131690364535e+00,2.678084355704906105e+00,3.640042089698729555e+00
4.400000000000000000e+01,2.000000000000000000e+00,5.660832928416840382e+00,6.251290563479376061e+00,6.822959724066609333e+00
4.400000000000000000e+01,3.000000000000000000e+00,3.592651282109049937e+00,3.844660547959995789e+00,5.501214853446913189e+00
4.500000000000000000e+01,0.000000000000000000e+00,3.565654089522827253e+00,3.791346426972216577e+00,4.935391486760003055e+00
4.500000000000000000e+01,1.000000000000000000e+00,2.505567588117362021e+00,2.577884285033419598e+00,3.268077944607048035e+00
4.500000000000000000e+01,2.000000000000000000e+00,5.757177938524800531e+00,6.234693455852936772e+00,6.099770485026922984e+00
4.500000000000000000e+01,3.000000000000000000e+00,3.565654089522827253e+00,3.791346426972215689e+00,4.935391486760009272e+00
4.600000000000000000e+01,0.000000000000000000e+00,3.515498993694095464e+00,3.708853015702248790e+00,4.239297672775089509e+00
4.600000000000000000e+01,1.000000000000000000e+00,2.448969319467597217e+00,2.501814937059340327e+00,2.821103173836030376e+00
4.600000000000000000e+01,2.000000000000000000e+00,5.709476572637949054e+00,6.128186296958221924e+00,5.339450246414879864e+00
4.600000000000000000e+01,3.000000000000000000e+00,3.515498993694095464e+00,3.708853015702465061e+00,4.239297672774691605e+00
4.700000000000000000e+01,0.000000000000000000e+00,3.748538487835864519e+00,4.000958673536502808e+00,5.103704551332650219e+00
4.700000000000000000e+01,1.000000000000000000e+00,2.682031448331771983e+00,2.758664065149473377e+00,3.420465704682934316e+00
4.700000000000000000e+01,2.000000000000000000e+00,5.958129782299604216e+00,6.524306469024007349e+00,6.221052494347801165e+00
4.700000000000000000e+01,3.000000000000000000e+00,3.748538487835864519e+00,4.000958673536596066e+00,5.103704551332595152e+00
4.800000000000000000e+01,0.000000000000000000e+00,4.074776929828240135e+00,4.395913093304248065e+00,6.278000589383574415e+00
4.800000000000000000e+01,1.000000000000000000e+00,2.935038854270963782e+00,3.042732044206567288e+00,4.337763236251654497e+00
4.800000000000000000e+01,2.000000000000000000e+00,6.449362972359858226e+00,7.145119414421128745e+00,7.361334623106466246e+00
4.800000000000000000e+01,3.000000000000000000e+00,4.074776929828240135e+00,4.395913093304249841e+00,6.278000589383560204e+00
4.900000000000000000e+01,0.000000000000000000e+00,3.348971820995458870e+00,3.544825752708801403e+00,4.402617917867438280e+00
4.900000000000000000e+01,1.000000000000000000e+00,2.396272717597951907e+00,2.452295733119206567e+00,2.884698789368844718e+00
4.900000000000000000e+01,2.000000000000000000e+00,5.315669525168888576e+00,5.775343363908120864e+00,5.636073655376677927e+00
4.900000000000000000e+01,3.000000000000000000e+00,3.348971820995743087e+00,3.544825752708050448e+00,4.402617917867443609e+00
