G_mM,min_pair_TV,TV_0_1,TV_0_2,TV_0_3,TV_1_2,TV_1_3,TV_2_3
3.288119525048849301e-02,1.920443489173830976e-04,3.025615691188591333e-03,8.095448865674650983e-04,1.920443489173830976e-04,3.835160577756056323e-03,2.833571342271207910e-03,1.001589235484848196e-03
3.339604372681632960e-02,1.945086214991490490e-04,3.062587136185818560e-03,8.199123629943434657e-04,1.945086214991490490e-04,3.882499499180161809e-03,2.868078514686669619e-03,1.014420984493492623e-03
3.391895361793025726e-02,1.970670465617299920e-04,3.100933454380212003e-03,8.306755473883900521e-04,1.970670465617299920e-04,3.931609001768601730e-03,2.903866407818481848e-03,1.027742593950120098e-03
3.445005114816881292e-02,1.997236204703807614e-04,3.140710628834504983e-03,8.418511377493748549e-04,1.997236204703807614e-04,3.982561766583879621e-03,2.940987008364124005e-03,1.041574758219755616e-03
3.498946451827090326e-02,2.024825298487068512e-04,3.181976926975747452e-03,8.534567288989687930e-04,2.024825298487068512e-04,4.035433655874716245e-03,2.979494397127040520e-03,1.055939258747675726e-03
3.553732393632202946e-02,2.053481615581129703e-04,3.224793222557526765e-03,8.655107349156219553e-04,2.053481615581129703e-04,4.090303957473148504e-03,3.019445060999413795e-03,1.070858896473734926e-03
3.609376164918505492e-02,2.083251132347718824e-04,3.269223343243854267e-03,8.780324354094820680e-04,2.083251132347718824e-04,4.147255778653336986e-03,3.060898230009082358e-03,1.086357548644253978e-03
3.665891197442289196e-02,2.114182044158591863e-04,3.315333713138517591e-03,8.910420297466458859e-04,2.114182044158591863e-04,4.206375742885163152e-03,3.103915508722658242e-03,1.102460234162505126e-03
3.723291133272139258e-02,2.146324882858545945e-04,3.363193817268834637e-03,9.045606939459561449e-04,2.146324882858545945e-04,4.267754511214790457e-03,3.148561328982979989e-03,1.119193182231810902e-03
3.781589828081952792e-02,2.179732640822306332e-04,3.412876424490837897e-03,9.186106435119931928e-04,2.179732640822306332e-04,4.331487068002830981e-03,3.194903160408607209e-03,1.136583907594223772e-03
3.840801354495545356e-02,2.214460901941897977e-04,3.464457491575922542e-03,9.332151732209764509e-04,2.214460901941897977e-04,4.397672664796898993e-03,3.243011401381733043e-03,1.154661263415166384e-03
3.900940005483621853e-02,2.250567979962246634e-04,3.518016402291781163e-03,9.483987270524418334e-04,2.250567979962246634e-04,4.466415129344223321e-03,3.292959604295556987e-03,1.173455525048666551e-03
3.962020297813921565e-02,2.288115064572461923e-04,3.573636169314408674e-03,9.641869553598431163e-04,2.288115064572461923e-04,4.537823124674251682e-03,3.344824662857162536e-03,1.192998461817089146e-03
4.024056975555408838e-02,2.327166375699454869e-04,3.631403595683185999e-03,9.806067660623246553e-04,2.327166375699454869e-04,4.612010361745510871e-03,3.398686958113240376e-03,1.213323403632270278e-03
4.087065013637306704e-02,2.367789326439689597e-04,3.691409447749473879e-03,9.976863816493800833e-04,2.367789326439689597e-04,4.689095829398854179e-03,3.454630515105504892e-03,1.234465314293349287e-03
4.151059621463878274e-02,2.410054695172903362e-04,3.753748640556285425e-03,1.015455403318270451e-03,2.410054695172903362e-04,4.769204043874555876e-03,3.512743171038995062e-03,1.256460872835560814e-03
4.216056246585798972e-02,2.454036807310388613e-04,3.818520436700639786e-03,1.033945031945439873e-03,2.454036807310388613e-04,4.852465468646080526e-03,3.573116755969601033e-03,1.279348712676478842e-03
4.282070578429008484e-02,2.499813727258841508e-04,3.885828659757433606e-03,1.053187918521545198e-03,2.499813727258841508e-04,4.939016578278979455e-03,3.635847287031549781e-03,1.303169291247429458e-03
4.349118552081963907e-02,2.547467461173024122e-04,3.955781923531761710e-03,1.073218346503348498e-03,2.547467461173024122e-04,5.029000270035110208e-03,3.701035177414459514e-03,1.327965092620650911e-03
4.417216352142175340e-02,2.597084171058398178e-04,4.028493773907164226e-03,1.094072457002871496e-03,2.597084171058398178e-04,5.122566230910036156e-03,3.768785356801324787e-03,1.353780874108711368e-03
4.486380416622981482e-02,2.648754400927062292e-04,4.104082900009004171e-03,1.115788055832069373e-03,2.648754400927062292e-04,5.219870955841073544e-03,3.839207459916298051e-03,1.380663495924775710e-03
4.556627440921499905e-02,2.702573315607266664e-04,4.182673642693819638e-03,1.138404989686167199e-03,2.702573315607266664e-04,5.321078632379986836e-03,3.912416311133093405e-03,1.408662321246893648e-03
4.627974381848689450e-02,2.758640952948383318e-04,4.264396058339598936e-03,1.161965142124183779e-03,2.758640952948383318e-04,5.426361200463782064e-03,3.988531963044760278e-03,1.437829237419022002e-03
4.700438461722539901e-02,2.817062490152354636e-04,4.349385874075702325e-03,1.186512412624245779e-03,2.817062490152354636e-04,5.535898286699948538e-03,4.067679625060466320e-03,1.468218661639481351e-03
4.774037172525325001e-02,2.877948525003898501e-04,4.437785558478134045e-03,1.212093071620429013e-03,2.877948525003898501e-04,5.649878630098562407e-03,4.149990705977744249e-03,1.499887924120818809e-03
4.848788280125969352e-02,2.941415372819691744e-04,4.529743601669070606e-03,1.238755750681862829e-03,2.941415372819691744e-04,5.768499352350933869e-03,4.235602064387101323e-03,1.532897287963832112e-03
4.924709828568526321e-02,3.007585379977668698e-04,4.625415861893304031e-03,1.266551573520099342e-03,3.007585379977668698e-04,5.891967435413402940e-03,4.324657323895537107e-03,1.567310111517866266e-03
5.001820144427786274e-02,3.076587254927156409e-04,4.724964820397078297e-03,1.295534305922507907e-03,3.076587254927156409e-04,6.020499126319586204e-03,4.417306094904362330e-03,1.603193031415223440e-03
5.080137841233114265e-02,3.148556417626680796e-04,4.828560881632456246e-03,1.325760507559189819e-03,3.148556417626680796e-04,6.154321389191644981e-03,4.513705239869787895e-03,1.640616149321857953e-03
