strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
WT,35,GlnK,paired_peptide_fraction,0.37582585267780777,True,0.14475819135233817,0.7048761320579452,0.0,0.8552418086476619,0.0,0.7048761320579452,0,0.6241741473221922,19
WT,35,GS,modified_over_total,0.07790995814166334,True,0,0.3732726993274841,0.0,1.0,0.0,0.3732726993274841,0,0.9220900418583367,19
WT,35,GS,paired_peptide_fraction,0.07043175855673368,True,0,0.24735848746369504,0.0,1.0,0.0,0.24735848746369504,0,0.9295682414432663,19
WT,-101,GlnB,modified_over_total,0.4016236190713774,True,0,1,0.0,1.0,0.0,1.0,0,0.5983763809286227,8
WT,-101,GlnB,paired_peptide_fraction,0.6060299011739881,True,0,1,0.0,1.0,0.0,1.0,0,0.39397009882601186,8
WT,-101,GlnK,modified_over_total,0.5379442215765068,True,0,1,0.0,1.0,0.0,1.0,0,0.4620557784234932,8
WT,-101,GlnK,paired_peptide_fraction,0.658639631355902,True,0,1,0.0,1.0,0.0,1.0,0,0.341360368644098,8
WT,-101,GS,modified_over_total,0.08633277235214674,True,0,1,0.0,1.0,0.0,1.0,0,0.9136672276478532,8
WT,-101,GS,paired_peptide_fraction,0.07802975098702895,True,0,0.8334305719238284,0.0,1.0,0.0,0.8334305719238284,0,0.9219702490129711,8
WT,-69.33333333333334,GlnB,modified_over_total,0.6685301551211986,True,0.05132371971973381,1,0.0,0.9486762802802662,0.0,1.0,0.0055904653635958645,0.3314698448788014,9
WT,-69.33333333333334,GlnB,paired_peptide_fraction,0.736241915447729,True,0.1174994398985445,1,0.0,0.8825005601014555,0.0,1.0,0.20872574634318708,0.263758084552271,9
WT,-69.33333333333334,GlnK,modified_over_total,1.1242097218870488,False,0.14862890432358936,1,0.0,0.8513710956764107,0.0,1.0,,,9
WT,-69.33333333333334,GlnK,paired_peptide_fraction,0.738026028724662,True,0.28137632240461613,1,0.0,0.7186236775953838,0.0,1.0,0.21407808617398594,0.26197397127533795,9
WT,-69.33333333333334,GS,modified_over_total,0.04914030785630159,True,0,0.18415165133521583,0.0,1.0,0.0,0.18415165133521583,0,0.9508596921436984,9
WT,-69.33333333333334,GS,paired_peptide_fraction,0.0448154524565357,True,0,0.15201462727347834,0.0,1.0,0.0,0.15201462727347834,0,0.9551845475434643,9
delta_glnB,-141.33333333333334,GlnK,modified_over_total,0.5134790096299375,True,0,1,0.0,1.0,0.0,1.0,0,0.48652099037006247,25
delta_glnB,-141.33333333333334,GlnK,paired_peptide_fraction,0.5079609574044911,True,0,1,0.0,1.0,0.0,1.0,0,0.4920390425955089,25
delta_glnB,-98.66666666666667,GlnK,modified_over_total,0.5731739418265338,True,0.11516966841667664,1,0.0,0.8848303315833234,0.0,1.0,0,0.4268260581734662,26
delta_glnB,-98.66666666666667,GlnK,paired_peptide_fraction,0.5599556719571793,True,0.17611780205406094,0.8251927834347297,0.0,0.8238821979459391,0.0,0.8251927834347297,0,0.4400443280428207,26
delta_glnB,-98.66666666666667,GS,modified_over_total,0.33920868465929765,True,0,1,0.0,1.0,0.0,1.0,0,0.6607913153407023,26
delta_glnB,-98.66666666666667,GS,paired_peptide_fraction,0.30639221158208674,True,0,1,0.0,1.0,0.0,1.0,0,0.6936077884179133,26
