# Fig 2a
l,theta_n1,theta_n2,theta_n3,theta_n12
0.1467799267622069,0.8720068922233213,0.8720068922233213,0.8720068922233213,0.8720068922233211
0.15107687571246955,0.86875170642364,0.86875170642364,0.86875170642364,0.86875170642364
0.1554996168653068,0.8654265093681698,0.8654265093681697,0.8654265093681698,0.8654265093681699
0.16005183275881996,0.8620304470549502,0.8620304470549504,0.8620304470549502,0.8620304470549501
0.1647373137365751,0.8585626889482196,0.8585626889482195,0.8585626889482195,0.8585626889482197
0.16955996110358357,0.8550224300226653,0.8550224300226654,0.8550224300226653,0.8550224300226655
0.1745237903746731,0.8514088928594626,0.8514088928594625,0.8514088928594625,0.8514088928594626
0.17963293461795385,0.8477213297913462,0.8477213297913462,0.8477213297913461,0.8477213297913463
0.1848916478961645,0.8439590250936032,0.8439590250936032,0.8439590250936032,0.8439590250936031
0.19030430880876226,0.8401212972175025,0.8401212972175024,0.8401212972175024,0.8401212972175024
0.1958754241377066,0.8362075010622919,0.8362075010622919,0.8362075010622919,0.8362075010622919
0.20160963259997344,0.8322170302815048,0.8322170302815048,0.8322170302815047,0.8322170302815048
0.20751170870992242,0.8281493196189186,0.8281493196189186,0.8281493196189186,0.8281493196189188
0.21358656675473434,0.8240038472691004,0.8240038472691005,0.8240038472691005,0.8240038472691004
0.2198392648862289,0.8197801372570732,0.8197801372570732,0.8197801372570732,0.8197801372570731
0.22627500933246886,0.8154777618312199,0.8154777618312198,0.8154777618312199,0.81547776183122
0.2328991587326589,0.8110963438631394,0.8110963438631394,0.8110963438631393,0.8110963438631393
0.23971722859894684,0.8066355592477643,0.8066355592477643,0.8066355592477642,0.8066355592477643
0.24673489590884307,0.8020951392966517,0.8020951392966517,0.8020951392966518,0.8020951392966518
0.25395800383208283,0.7974748731169705,0.7974748731169706,0.7974748731169706,0.7974748731169706
0.2613925665958655,0.7927746099683396,0.7927746099683396,0.7927746099683397,0.7927746099683395
0.26904477449252284,0.7879942615893036,0.7879942615893037,0.7879942615893037,0.7879942615893037
0.276920999033786,0.7831338044849093,0.7831338044849092,0.7831338044849093,0.7831338044849092
0.28502779825594143,0.778193282166514,0.7781932821665141,0.778193282166514,0.778193282166514
0.2933719221802959,0.7731728073346873,0.7731728073346872,0.7731728073346872,0.7731728073346871
0.3019603184334935,0.7680725639957988,0.7680725639957987,0.7680725639957989,0.7680725639957989
0.3108001380323669,0.76289280950267,0.76289280950267,0.7628928095026699,0.7628928095026699
0.3198987413381393,0.7576338765094816,0.7576338765094816,0.7576338765094816,0.7576338765094814
0.32926370418493367,0.7522961748309912,0.7522961748309914,0.7522961748309914,0.7522961748309912
0.338902824187692,0.7468801931960198,0.7468801931960197,0.7468801931960196,0.7468801931960197
0.34882412723476036,0.7413865008851164,0.7413865008851164,0.7413865008851162,0.7413865008851164
0.35903587417053806,0.7358157492423305,0.7358157492423305,0.7358157492423304,0.7358157492423306
0.36954656767376554,0.7301686730510694,0.7301686730510694,0.7301686730510694,0.7301686730510696
0.38036495933716713,0.7244460917641569,0.7244460917641569,0.7244460917641568,0.7244460917641568
0.3915000569543524,0.7186489105783807,0.7186489105783805,0.7186489105783807,0.7186489105783807
0.40296113202003997,0.7127781213440744,0.7127781213440744,0.7127781213440744,0.7127781213440743
0.414757727449845,0.7068348033005893,0.7068348033005893,0.7068348033005892,0.7068348033005892
0.42689966552606534,0.7008201236288908,0.7008201236288908,0.7008201236288909,0.7008201236288908
0.43939705607607904,0.6947353378129636,0.6947353378129635,0.6947353378129635,0.6947353378129637
0.4522603048901584,0.6885817898022317,0.6885817898022317,0.6885817898022316,0.6885817898022317
0.46550012238571764,0.6823609119677722,0.6823609119677723,0.6823609119677722,0.6823609119677723
0.47912753252520457,0.6760742248457604,0.6760742248457604,0.6760742248457604,0.6760742248457604
0.4931538819950569,0.6697233366623029,0.6697233366623029,0.6697233366623029,0.6697233366623031
0.5075908496533773,0.6633099426345803,0.6633099426345804,0.6633099426345805,0.6633099426345804
0.5224504562541799,0.6568358240440801,0.6568358240440801,0.6568358240440801,0.6568358240440801
0.5377450744563167,0.6503028470785763,0.6503028470785763,0.6503028470785762,0.6503028470785762
0.5534874391254135,0.6437129614404753,0.6437129614404752,0.6437129614404755,0.6437129614404752
0.5696906579373867,0.6370681987201385,0.6370681987201384,0.6370681987201384,0.6370681987201384
0.5863682222923841,0.6303706705338237,0.6303706705338237,0.6303706705338237,0.6303706705338237
0.6035340185482205,0.6236225664269739,0.6236225664269739,0.623622566426974,0.6236225664269739
0.6212023395826757,0.6168261515446719,0.6168261515446719,0.6168261515446718,0.6168261515446718
0.6393878966942751,0.6099837640722116,0.6099837640722116,0.6099837640722116,0.6099837640722118
0.6581058318514584,0.603097812449878,0.603097812449878,0.603097812449878,0.6030978124498781
0.6773717303003455,0.5961707723671621,0.5961707723671621,0.5961707723671621,0.5961707723671621
0.697201633541591,0.5892051835427923,0.5892051835427923,0.5892051835427923,0.5892051835427923
0.7176120526871287,0.5822036462980938,0.5822036462980938,0.5822036462980938,0.5822036462980937
0.7386199822079358,0.5751688179322914,0.5751688179322914,0.5751688179322915,0.5751688179322915
0.7602429140842625,0.568103408909465,0.568103408909465,0.5681034089094651,0.568103408909465
0.7824988523700963,0.5610101788679145,0.5610101788679144,0.5610101788679145,0.5610101788679146
0.8054063281840109,0.5538919324636807,0.5538919324636807,0.5538919324636807,0.5538919324636808
0.8289844151388566,0.5467515150609307,0.5467515150609306,0.5467515150609307,0.5467515150609307
0.8532527452231585,0.5395918082827852,0.5395918082827852,0.5395918082827853,0.5395918082827853
0.8782315251474404,0.5324157254369907,0.5324157254369908,0.5324157254369908,0.5324157254369909
0.9039415531690744,0.5252262068315695,0.5252262068315694,0.5252262068315694,0.5252262068315695
0.9304042364096875,0.518026214996231,0.5180262149962311,0.518026214996231,0.518026214996231
0.957641608679517,0.5108187298258987,0.5108187298258988,0.5108187298258987,0.5108187298258987
0.9856763488235805,0.5036067436631618,0.5036067436631618,0.5036067436631618,0.5036067436631619
