G_uM,epsilon_P,epsilon_S,J,actual_gap,universal_bound,condition_bound,condition_certifies,universal_certifies
540.0,0.006234570024591662,0.001,0.0,1.4194752784302267e-06,0.002563520254654764,0.0010088991824537255,True,True
550.0,0.006234570024591662,0.001,0.0,1.4422744337716509e-06,0.002563520254654764,0.0010084386484546784,True,True
560.0,0.006234570024591662,0.001,0.0,1.4636523067990126e-06,0.002563520254654764,0.001007992348351027,True,True
570.0,0.006234570024591662,0.001,0.0,1.483686966730069e-06,0.002563520254654764,0.0010075619308281816,True,True
580.0,0.006234570024591662,0.001,0.0,1.5024514175010495e-06,0.002563520254654764,0.0010071486096346885,True,True
590.0,0.006234570024591662,0.001,0.0,1.52001384434719e-06,0.002563520254654764,0.0010067532118006586,True,True
600.0,0.006234570024591662,0.001,0.0,1.5364379277738038e-06,0.002563520254654764,0.001006376227253746,True,True
610.0,0.006234570024591662,0.001,0.0,1.5517831646327807e-06,0.002563520254654764,0.001006017857725249,True,True
610.1877689098774,0.006234570024591662,0.001,0.0,1.5520613464437005e-06,0.002563520254654764,0.0010060113067898993,True,True
620.0,0.006234570024591662,0.001,0.0,1.566105180317301e-06,0.002563520254654764,0.0010056780633866938,True,True
630.0,0.006234570024591662,0.001,0.0,1.5794560405124614e-06,0.002563520254654764,0.0010053566061386512,True,True
640.0,0.006234570024591662,0.001,0.0,1.5918845318596553e-06,0.002563520254654764,0.0010050530888939804,True,True
650.0,0.006234570024591662,0.001,0.0,1.6034364433981096e-06,0.002563520254654764,0.001004766990520766,True,True
712.7508569783073,0.006234570024591662,0.001,0.0,1.6584313126122296e-06,0.002563520254654764,0.0010033264535752586,True,True
832.5532074018732,0.006234570024591662,0.001,0.0,1.701156153943728e-06,0.002563520254654764,0.0010017761380870507,True,True
972.4924724660731,0.006234570024591662,0.001,0.0,1.6885355831330884e-06,0.002563520254654764,0.0010009658180601946,True,True
1135.9533548066277,0.006234570024591662,0.001,0.0,1.6322073587149433e-06,0.002563520254654764,0.0010005507908862335,True,True
1326.889473009725,0.006234570024591662,0.001,0.0,1.546014133269047e-06,0.002563520254654764,0.0010003332137574752,True,True
1549.918987548337,0.006234570024591662,0.001,0.0,1.4434720677636292e-06,0.002563520254654764,0.0010002140602254342,True,True
1810.4362999534146,0.006234570024591662,0.001,0.0,1.3355594739028476e-06,0.002563520254654764,0.0010001453871834034,True,True
2114.7425268811285,0.006234570024591662,0.001,0.0,1.2296883974416417e-06,0.002563520254654764,0.0010001036923475972,True,True
2470.1979048446246,0.006234570024591662,0.001,0.0,1.129835700552917e-06,0.002563520254654764,0.0010000770755296253,True,True
2885.3998118144273,0.006234570024591662,0.001,0.0,1.0373582528533376e-06,0.002563520254654764,0.0010000592672201316,True,True
3370.3907114852836,0.006234570024591662,0.001,0.0,9.519863639617654e-07,0.002563520254654764,0.0010000468270474619,True,True
3936.9010497450113,0.006234570024591662,0.001,0.0,8.726745043263762e-07,0.002563520254654764,0.001000037792304508,True,True
4598.632978267703,0.006234570024591662,0.001,0.0,7.981924315947353e-07,0.002563520254654764,0.0010000310022691963,True,True
5371.591767636877,0.006234570024591662,0.001,0.0,7.274683572200402e-07,0.002563520254654764,0.0010000257473198318,True,True
6274.472925867966,0.006234570024591662,0.001,0.0,6.59745919007193e-07,0.002563520254654764,0.001000021579855014,True,True
7329.114385542688,0.006234570024591662,0.001,0.0,5.946198446959983e-07,0.002563520254654764,0.0010000182088749634,True,True
8561.024696578494,0.006234570024591662,0.001,0.0,5.320010108000872e-07,0.002563520254654764,0.0010000154393948737,True,True
10000.0,0.006234570024591662,0.001,0.0,4.720455295537107e-07,0.002563520254654764,0.001000013136709942,True,True
20.0,0.007773875381307699,0.001,0.0,3.3247337208092316e-09,0.00295105989163238,0.001001048992060077,True,True
23.361689410840295,0.007773875381307699,0.001,0.0,4.4598859108286974e-09,0.00295105989163238,0.001001225919040366,True,True
27.288426606428374,0.007773875381307699,0.001,0.0,5.9582506507283896e-09,0.00295105989163238,0.0010014329176454468,True,True
31.87518734449451,0.007773875381307699,0.001,0.0,7.917943371056266e-09,0.00295105989163238,0.001001675229601041,True,True
37.23291133272139,0.007773875381307699,0.001,0.0,1.0449080494574162e-08,0.00295105989163238,0.0010019590845369477,True,True
43.49118552081964,0.007773875381307699,0.001,0.0,1.366186800293807e-08,0.00295105989163238,0.001002291927378024,True,True
50.80137841233114,0.007773875381307699,0.001,0.0,1.764063643658288e-08,0.00295105989163238,0.0010026827188370669,True,True
59.34030120557235,0.007773875381307699,0.001,0.0,2.2396599260777767e-08,0.00295105989163238,0.001003142340237483,True,True
69.31448431551465,0.007773875381307699,0.001,0.0,2.7797017459942758e-08,0.00295105989163238,0.001003684147688463,True,True
80.9651727125807,0.007773875381307699,0.001,0.0,3.349026928109629e-08,0.00295105989163238,0.0010043247371374045,True,True
