# Fig 6A: ligands bound per enzyme for a one-site law and a concerted two-site law
scaled_glutamine,one_ligand,two_ligands
8.24874655261458,0.8918772404118583,1.9710320497199931
8.506793416364154,0.8948120616275632,1.9727392430106818
8.772912801613357,0.8976763611525403,1.9743471342540282
9.047357242349293,0.9004713402858782,1.975861349446233
9.33038717262036,0.903198207067166,1.9772872130729464
9.622271173675134,0.9058581744289986,1.9786297622697206
9.923286228832545,0.9084524584405331,1.9798937605568268
10.233717986325193,0.910982276640975,1.9810837111294273
10.55386103036523,0.9134488464616414,1.9822038696896909
10.884019160690055,0.9158533837350415,1.9832582568122907
11.224505680853058,0.9181971012892345,1.9842506698389124
11.575643695533035,0.9204812076255622,1.9851846943009845
11.937766417144358,0.9227069056777173,1.9860637148729037
12.311217482038908,0.9248753916499884,1.986890925860601
12.69635127659974,0.926987853932419,1.9876693412324566
13.093533273536108,0.9290454720905414,1.9884018042013527
13.503140378698735,0.931049415927275,1.9890909963681056
13.925561288744634,0.9330008446145271,1.989739446437695
14.361196859990788,0.9349009058920036,1.990349538520607
14.810460488806754,0.9367507353307031,1.9909235200323185
15.27377850390714,0.9385514556585669,1.991463509204436
15.751590570916228,0.9403041761457458,1.9919715022213542
16.24435010958867,0.9420099920469631,1.9924493799964902
16.752524724082154,0.9436699840984617,1.9928989146022213
17.276596646690365,0.9452852180670581,1.9933217753676369
17.817063195457308,0.9468567443488518,1.9937195346580918
18.374437246107266,0.9483855976151813,1.9940936733503694
18.949247718738217,0.9498727965034639,1.9944455860170154
19.542040079740534,0.9513193433506031,1.9947765858331077
20.15337685941733,0.952726223966704,1.9950879092183995
20.783838185797574,0.9540944074468947,1.9953807202274048
21.434022335148565,0.9554248460191088,1.9956561146996095
22.104546299710215,0.9567184749257533,1.9959151241815913
22.796046373189796,0.957976212337245,1.9961587196324075
23.50917875457287,0.9591989592954672,1.9963878149231968
24.244620170823282,0.9603875996852684,1.9966032701415042
25.003068519063238,0.9615430002321885,1.9968058947104212
25.785243528842738,0.9626660105246687,1.9969964503322044
26.591887445126936,0.9637574630590698,1.9971756537656171
27.423765732649496,0.964818173305892,1.9973441794458324
28.281667802300323,0.9658489397956547,1.9975026619553253
29.16640776023704,0.9668505442229645,1.9976516983537993
30.07882518043099,0.9678237515673643,1.9977918503747996
31.019785901380967,0.9687693102296204,1.997923646496305
31.99018284775064,0.9696879521821692,1.9980475838922256
32.99093687770939,0.9705803931325064,1.9981641302713908
34.02299765678068,0.971447332698365,1.9982737256102816
35.087344559027116,0.9722894545935812,1.9983767837854371
36.18498759642746,0.9731074268236122,1.9984736941111607
37.31696837732752,0.9739019018897197,1.998564822787859
38.48436109487429,0.9746735170008913,1.9986505142660644
39.68827354637162,0.9754228942926192,1.998731092530921
40.92984818452438,0.9761506410517107,1.998806862311662
42.210263201568985,0.9768573499463505,1.9988781102203588
43.530733647318876,0.9775435992606826,1.9989451058239915
44.89251258218603,0.9782099531332227,1.9990081026536655
46.29689226627263,0.9788569617984584,1.9990673391545941
47.745205385661265,0.979485161831031,1.999123039580262
49.238826317067364,0.9800950763919364,1.9991754148339929
50.77917243205398,0.9806872154762182,1.9992246632609754
52.3677054420465,0.9812620761616606,1.9992709713936139
54.00593278542368,0.9818201428580264,1.9993145146529225
55.6954090580013,0.9823618875564163,1.9993554580085224
57.43773748826581,0.9828877700783539,1.999393956599653
59.23457145875806,0.9833982383242373,1.9994301563194798
61.0876160750504,0.9838937285208178,1.9994641943648404
62.99862978380693,0.9843746654674,1.9994961997534568
64.96942604146125,0.9848414627804779,1.9995262938105214
67.0018750350959,0.9852945231365474,1.9995545906264511
69.09790545715646,0.9857342385128584,1.9995811974875097
71.25950633568411,0.9861609904258899,1.9996062152808898
73.48872892180388,0.9865751501673525,1.99962973887576
75.7876886362593,0.98697707903754,1.9996518574816966
78.15856707684091,0.9873671285758713,1.9996726549858275
80.60361408861345,0.9877456407884815,1.9996922102699517
83.12514989890632,0.9881129483727316,1.9997105975088132
85.72556731909324,0.988469374938527,1.999727886450645
88.40733401525063,0.9888152352263471,1.99974414268103
91.17299484984922,0.9891508353218965,1.999759427871071
94.02517429670132,0.9894764728673093,1.9997738000107925
96.9665789314552,0.9897924372688397,1.9997873136286546
100.0,0.9900990099009901,1.9998000199980002
