# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
0.0002405907115523698,-0.4196280219376888
0.00024155038674520014,-0.41857699506674007
0.00024251388991821245,-0.41752488976803526
0.0002434812363405644,-0.4164717121730231
0.00024445244134232064,-0.41541746844133043
0.00024542752031469416,-0.4143621647606674
0.00024640648871029105,-0.413305807346715
0.0002473893620433552,-0.4122484024430304
0.000248376155890014,-0.41118995632093364
0.0002493668858885259,-0.41013047527940605
0.00025036156773952694,-0.40906996564498005
0.0002513602172062812,-0.4080084337716302
0.00025236285011492887,-0.40694588604066173
0.0002533694823547384,-0.405882328860603
0.0002543801298783572,-0.4048177686670877
0.00025539480870206624,-0.40375221192274424
0.00025641353490603167,-0.40268566511707565
0.0002574363246345607,-0.401618134766352
0.00025846319409635824,-0.4005496274134841
0.00025949415956478216,-0.39948014962790723
0.00026052923737810216,-0.39840970800546416
0.00026156844393975844,-0.39733830916828
0.0002626117957186223,-0.3962659597646406
0.0002636593092492558,-0.3951926664688704
0.0002647110011321746,-0.3941184359812073
0.0002657668880341118,-0.3930432750276743
0.0002668269866882803,-0.3919671903599567
0.0002678913138946394,-0.39089018875526876
0.0002689598865201601,-0.38981227701622945
0.0002700327214990938,-0.388733461970726
0.0002711098358332385,-0.3876537504717878
0.0002721912465922108,-0.38657314939744997
0.00027327697091371404,-0.3854916656506214
0.00027436702600381127,-0.38440930615894614
0.0002754614291371976,-0.38332607787467227
0.00027656019765747364,-0.38224198777451085
0.0002776633489774215,-0.3811570428594964
0.00027877090057927886,-0.38007125015485127
0.000279882870015018,-0.37898461670984274
0.00028099927490662235,-0.3778971495976393
0.0002821201329463666,-0.37680885591517205
0.00028324546189709664,-0.37571974278298576
0.0002843752795925122,-0.3746298173450983
0.0002855096039374476,-0.37353908676885156
0.0002866484529081567,-0.37244755824476417
0.00028779184455259824,-0.3713552389863867
0.0002889397969907204,-0.37026213623014614
0.00029009232841474894,-0.3691682572352018
0.0002912494570894751,-0.3680736092832908
0.00029241120135254614,-0.3669781996785738
0.00029357757961475376,-0.36588203574748623
0.00029474861036032847,-0.3647851248385799
0.0002959243121472303,-0.3636874743223675
0.000297104703607444,-0.36258909159117075
0.00029828980344727413,-0.3614899840589561
0.0002994796304476414,-0.36039015916118183
0.00030067420346438115,-0.3592896243546315
0.00030187354142854016,-0.35818838711726647
0.0003030776633466792,-0.35708645494804797
0.0003042865883011721,-0.35598383536678535
0.0003055003354505093,-0.3548805359139729
0.00030671892402960103,-0.3537765641506187
0.00030794237335008215,-0.3526719276580879
0.00030917070280061924,-0.35156663403792626
0.0003104039318472156,-0.35046069091170295
0.00031164208003352245,-0.34935410592083727
0.00031288516698114635,-0.34824688672643056
0.00031413321238996127,-0.34713904100909654
