# Fig 5A: calibrated composite responses normalised between their plateaus; midpoints at the reported cascade half-points
glutamine_mM,Y_norm_PII_0.5,Y_norm_PII_5,Y_norm_PII_36
0.028257115029208284,4.567989599985138e-06,7.327256228467968e-06,0.00037595610039073743
0.028750580409448803,4.759847641154992e-06,7.635004080007283e-06,0.00039174034995925376
0.029252663374366446,4.960778749320494e-06,7.957305411746534e-06,0.0004082705170479597
0.029763514416313176,5.171281700516624e-06,8.294960268994311e-06,0.0004255875596738976
0.030283286655749458,5.391887205184223e-06,8.64881991972999e-06,0.00044373505363931256
0.030812135887140036,5.6231602297133045e-06,9.019790578279795e-06,0.0004627593823490167
0.031350220625651154,5.865702503606369e-06,9.40883742671258e-06,0.00048270994174618646
0.03189770215466321,6.1201552281931685e-06,9.816988959506747e-06,0.0005036393616564408
0.032454744574113306,6.387202004257067e-06,1.0245341679331442e-05,0.0005256037449446206
0.03302151484968176,6.667571997526659e-06,1.0695065174340354e-05,0.0005486629260163238
0.03359818286283781,6.9620433626951e-06,1.1167407610116907e-05,0.000572880750332886
0.03418492146175929,7.271446948534218e-06,1.1663701672464264e-05,0.0005983253767606174
0.0347819065131413,7.5966703087323454e-06,1.2185371000539825e-05,0.0006250696047394751
0.0353893169549099,7.938662045349446e-06,1.2733937153465751e-05,0.0006531912284365687
0.0360073348498562,8.29843651427146e-06,1.3311027157537434e-05,0.0006827734202476196
0.036636145440207164,8.677078924767333e-06,1.3918381685515948e-05,0.0007139051462252501
0.0372759372031494,9.075750868217762e-06,1.4557863924246303e-05,0.0007466816162475933
0.0379269019073225,9.49569631436831e-06,1.5231469192108502e-05,0.0007812047719999664
0.03858923467029903,9.938248117031792e-06,1.594133537353682e-05,0.0008175838161236674
0.03926313401706837,1.040483507508371e-05,1.6689754244126437e-05,0.0008559357861937421
0.0399488019395417,1.0896989598908141e-05,1.7479183766763477e-05,0.0008963861775255115
0.040646443957096295,1.1416356037167575e-05,1.831226144677634e-05,0.0009390696191779769
0.0413562691781771,1.1964699723925004e-05,1.9191818842371255e-05,0.000984130607923419
0.04207849036297403,1.254391681186677e-05,2.0120897335786812e-05,0.0010317243053965396
0.04281332398719394,1.315604496354395e-05,2.1102765280493166e-05,0.0010820174041130653
0.04356099030694608,1.380327497942554e-05,2.2140936650784994e-05,0.0011351890685773487
0.04432171342476086,1.4487963449026375e-05,2.3239191332092824e-05,0.0011914319582710042
0.045095721356761466,1.521264651960442e-05,2.440159720353398e-05,0.001250953339942824
0.04588324610100845,1.5980054885926986e-05,2.5632534178660284e-05,0.0013139762973038563
0.04668452370703792,1.679313011453438e-05,2.6936720386276403e-05,0.0013807410469815456
0.047499794346614124,1.765504242675826e-05,2.8319240690560664e-05,0.0014515063703996135
0.04832930238571752,1.856921007669698e-05,2.9785577768867356e-05,0.001526551172141714
0.049173296457790186,1.9539320473434655e-05,3.134164598656143e-05,0.001606176176326388
0.05003202953826004,2.0569353211120707e-05,3.299382833120393e-05,0.0016907057735745332
0.050905759020366814,2.166360518632289e-05,3.4749016693723e-05,0.0017804900323033458
0.0517947467923121,2.282671799933874e-05,3.661465581188409e-05,0.0018759068893294591
0.052699259315756565,2.4063707855115912e-05,3.8598791221764775e-05,0.0019773645361222457
0.053619567705688195,2.5379998200289636e-05,4.071012159636127e-05,0.002085304018526967
0.0545559478116852,2.678145535567428e-05,4.295805588703013e-05,0.00220020206937678
0.05550868030059805,2.827442742861753e-05,4.5352775723635624e-05,0.0023225741951475223
0.056478050740675544,2.9865786817160294e-05,4.790530357338248e-05,0.002452978039688985
0.05746434968715974,3.156297664809991e-05,5.062757720661497e-05,0.0025920170500934926
0.05846787276937589,3.337406152417745e-05,5.353253107091362e-05,0.002740344471953425
0.05948892077934334,3.530778299192494e-05,5.6634185232978004e-05,0.002898667703617632
0.06052779976193349,3.737362018150682e-05,5.994774261151015e-05,0.003067753041589137
0.06158482110660264,3.9581856113607475e-05,6.348969529430632e-05,0.0032484308519285065
0.06266030164072656,4.1943650216220345e-05,6.727794080928742e-05,0.0034416012054283725
0.06375456372456506,4.447111764673934e-05,7.133190930329886e-05,0.0036482400174299105
0.06486793534788511,4.7177416072207855e-05,7.567270267445084e-05,0.0038694057364416644
0.06600075022827095,5.007684062362101e-05,8.032324680463109e-05,0.004106246629210232
0.06715334791115142,5.31849278091831e-05,8.53084581492027e-05,0.004360008713564851
0.06832607387157402,5.651856924701986e-05,9.065542606179876e-05,0.004632044394209065
0.06951927961775606,6.0096136160599155e-05,9.639361236443228e-05,0.004923821860642084
0.07073332279644443,6.393761567067406e-05,0.00010255506981789106,0.005236935310535582
0.07196856730011521,6.806476001670471e-05,0.00010917468130580455,0.00557311606613868
0.07322538337604534,7.25012499490573e-05,0.00011629042171883176,0.00593424465557653
0.07450414773728913,7.727287365188281e-05,0.00012394364471480325,0.00632236393520374
0.07580524367559262,8.24077226860196e-05,0.00013217939673725712,0.006739693333368019
0.07712906117627992,8.79364065828605e-05,0.00014104676090071524,0.007188644299960216
0.07847599703514611,9.389228787465908e-05,0.00015059923359747707,0.007671837049827931
