# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
2.7,-2.7,1.9970085592800377
2.8000000000000007,-2.7,1.9972243575150757
2.9000000000000004,-2.7,1.9974308012338409
3.0,-2.7,1.997623260372721
-3.0,-2.6,2.9861499304788954
-2.9,-2.6,2.9850483467417814
-2.8,-2.6,2.983712964618586
-2.7,-2.6,2.9820924716680386
-2.6,-2.6,2.9800552057222998
-2.5,-2.6,2.977494887822503
-2.4,-2.6,2.9742786650325486
-2.3,-2.6,2.970342961835187
-2.2,-2.6,2.965500412122057
-2.1,-2.6,2.9594327056457517
-2.0,-2.6,2.951838974855863
-1.9,-2.6,2.942349601130779
-1.7999999999999998,-2.6,2.9305133715998255
-1.7,-2.6,2.916100061224235
-1.5999999999999999,-2.6,2.8982836868862654
-1.5,-2.6,2.876304359515814
-1.4,-2.6,2.84931816701978
-1.2999999999999998,-2.6,2.816374191174561
-1.2,-2.6,2.776431678875882
-1.0999999999999999,-2.6,2.729597263710884
-1.0,-2.6,2.67428804539599
-0.8999999999999999,-2.6,2.609609461655531
-0.7999999999999998,-2.6,2.537324105125209
-0.6999999999999997,-2.6,2.456693255223143
-0.5999999999999996,-2.6,2.372373949919472
-0.5,-2.6,2.2865960435108565
-0.3999999999999999,-2.6,2.2059696237797124
-0.2999999999999998,-2.6,2.1355766565909957
-0.19999999999999973,-2.6,2.080661113393115
-0.09999999999999964,-2.6,2.0421014563484383
0.0,-2.6,2.017563676138817
0.10000000000000009,-2.6,2.002983170751144
0.20000000000000018,-2.6,1.9946706353208818
0.30000000000000027,-2.6,1.9900096684440336
0.40000000000000036,-2.6,1.9875483550267539
0.5,-2.6,1.9864020843952133
0.6000000000000001,-2.6,1.9860124014978717
0.7000000000000002,-2.6,1.9861921188486649
0.8000000000000003,-2.6,1.9865900848466755
0.9000000000000004,-2.6,1.9872051525858152
1.0,-2.6,1.9878395703758411
1.1000000000000005,-2.6,1.9885921160663862
1.2000000000000002,-2.6,1.9893020685593403
1.2999999999999998,-2.6,1.990000794635019
1.4000000000000004,-2.6,1.9906983452917506
1.5,-2.6,1.9913329591611177
1.6000000000000005,-2.6,1.991948996494749
1.7000000000000002,-2.6,1.9925351038911479
1.8000000000000007,-2.6,1.993061870443731
1.9000000000000004,-2.6,1.9935700753439565
2.0,-2.6,1.9940460405204445
2.1000000000000005,-2.6,1.9944718315972705
2.2,-2.6,1.9948812036226595
2.3000000000000007,-2.6,1.9952627392365145
2.4000000000000004,-2.6,1.995603408702636
2.5,-2.6,1.995930208521284
2.6000000000000005,-2.6,1.9962344774441851
2.7,-2.6,1.9965059333808872
2.8000000000000007,-2.6,1.9967659223066958
2.9000000000000004,-2.6,1.9970080616515038
3.0,-2.6,1.9972240052206698
-3.0,-2.5,2.9836883726811836
-2.9,-2.5,2.982588891845211
-2.8,-2.5,2.981205914033688
-2.7,-2.5,2.97952820930104
-2.6,-2.5,2.9774948878225036
-2.5,-2.5,2.9749395232757485
-2.4,-2.5,2.9717295167569326
-2.3,-2.5,2.967699417434072
-2.2,-2.5,2.962777562674742
-2.1,-2.5,2.956722758697195
-2.0,-2.5,2.949145129454635
-1.9,-2.5,2.939675805135895
-1.7999999999999998,-2.5,2.927864472286828
-1.7,-2.5,2.913214096153522
-1.5999999999999999,-2.5,2.895441492313713
-1.5,-2.5,2.873515583557015
-1.4,-2.5,2.846594110992076
-1.2999999999999998,-2.5,2.8137278615340553
-1.2,-2.5,2.7738777228381917
-1.0999999999999999,-2.5,2.726877935524667
-1.0,-2.5,2.6717158379257007
-0.8999999999999999,-2.5,2.6072022320847785
-0.7999999999999998,-2.5,2.5348541270271245
-0.6999999999999997,-2.5,2.45444928222903
-0.5999999999999996,-2.5,2.370155048255158
-0.5,-2.5,2.284449235178238
-0.3999999999999999,-2.5,2.2037398568541375
-0.2999999999999998,-2.5,2.1333157549655244
-0.19999999999999973,-2.5,2.078405894396776
-0.09999999999999964,-2.5,2.039649021073845
0.0,-2.5,2.0149727081723623
0.10000000000000009,-2.5,2.000333700392015
