enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.258925411794167559e-01,1.102742848835872813e+00,9.859999568031013739e-01,9.860864661093191597e-01,8.650930621778574192e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.216041790658657140e+00,9.832319125705587526e-01,9.832339361293436220e-01,2.023558784869372573e-06,1.258925411794167559e-01
1.258925411794167559e-01,1.340981388534404628e+00,9.798425809938764441e-01,9.797098448478493982e-01,1.327361460270459759e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.478757636628313499e+00,9.756991868395553658e-01,9.753663991535255207e-01,3.327876860298450978e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.630689408953309716e+00,9.706480988883019467e-01,9.700352549696504845e-01,6.128439186514622605e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.798231084395658153e+00,9.645158337123572734e-01,9.635314960513606808e-01,9.843376609965925894e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.982986468871690056e+00,9.571123686713287615e-01,9.556610109154685118e-01,1.451357755860249732e-03,1.258925411794167559e-01
1.258925411794167559e-01,2.186724147886555336e+00,9.482372610118839917e-01,9.462311287216078615e-01,2.006132290276130270e-03,1.258925411794167559e-01
1.258925411794167559e-01,2.411394416458617407e+00,9.376886108935034159e-01,9.350632297075580635e-01,2.625381185945352414e-03,1.258925411794167559e-01
1.258925411794167559e-01,2.659147948472494249e+00,9.252741420807920614e-01,9.220047943568161486e-01,3.269347723975912778e-03,1.258925411794167559e-01
1.258925411794167559e-01,2.932356384174625852e+00,9.108227780800522977e-01,9.069376727722557874e-01,3.885105307796510310e-03,1.258925411794167559e-01
1.258925411794167559e-01,3.233635032886784888e+00,8.941944668819437059e-01,8.897799753622668284e-01,4.414491519676877473e-03,1.258925411794167559e-01
1.258925411794167559e-01,3.565867908261056041e+00,8.752861615761587943e-01,8.704811178840538011e-01,4.805043692104993269e-03,1.258925411794167559e-01
1.258925411794167559e-01,3.932235335728213599e+00,8.540330807963817383e-01,8.490124540310235446e-01,5.020626765358193744e-03,1.258925411794167559e-01
1.258925411794167559e-01,4.336244396414017821e+00,8.304063671800183677e-01,8.253581674693071246e-01,5.048199710711243071e-03,1.258925411794167559e-01
1.258925411794167559e-01,4.781762498950185680e+00,8.044101512790774455e-01,7.995114791110341512e-01,4.898672168043294306e-03,1.258925411794167559e-01
1.258925411794167559e-01,5.273054400548867093e+00,7.760817773239883088e-01,7.714795845067132785e-01,4.602192817275030379e-03,1.258925411794167559e-01
1.258925411794167559e-01,5.814823031727796021e+00,7.454980064017581176e-01,7.412978850273507225e-01,4.200121374407395081e-03,1.258925411794167559e-01
1.258925411794167559e-01,6.412254515483961193e+00,7.127876521577813929e-01,7.090511294985067936e-01,3.736522659274599256e-03,1.258925411794167559e-01
