G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,9.809330225884939081e-01,9.808705442356946413e-01,9.893730667424024405e-01,1.512418078077645660e-13
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,9.805079751872992633e-01,9.805911001046755393e-01,9.893730667424024405e-01,2.104978517880606859e-16
3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.315137935657241686e-01,9.120286374232489113e-01,9.315137935657242796e-01,6.700369425960417094e-18
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,9.315137935657243906e-01,9.088137575921444444e-01,9.315137935657243906e-01,1.394555044359480078e-17
3.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000000e+00,9.314950388024669792e-01,9.120097212881684845e-01,9.315137935657242796e-01,5.796692420907906609e-15
3.000000000000000000e+00,1.000000000000000048e-04,4.000000000000000000e+00,9.314994413242586591e-01,9.088872296803010009e-01,9.315137935657243906e-01,1.567667402954577710e-17
3.000000000000000000e+00,1.778279410038922698e-04,1.000000000000000000e+00,9.314789267166256881e-01,9.119962118382572980e-01,9.315137935657242796e-01,5.251618249020291798e-15
3.000000000000000000e+00,1.778279410038922698e-04,4.000000000000000000e+00,9.314860643464933920e-01,9.089315772203967470e-01,9.315137935657243906e-01,2.877540328412309112e-17
3.000000000000000000e+00,3.162277660168379394e-04,1.000000000000000000e+00,9.314480311134072377e-01,9.119742559264006898e-01,9.315137935657242796e-01,5.405721917729582049e-16
3.000000000000000000e+00,3.162277660168379394e-04,4.000000000000000000e+00,9.314588843977147370e-01,9.089897568961168295e-01,9.315137935657243906e-01,1.988325140384744616e-17
3.000000000000000000e+00,5.623413251903490971e-04,1.000000000000000000e+00,9.313888537553948188e-01,9.119401854703315102e-01,9.315137935657242796e-01,1.317305639569887887e-17
3.000000000000000000e+00,5.623413251903490971e-04,4.000000000000000000e+00,9.314038013464808197e-01,9.090484269799428141e-01,9.315137935657243906e-01,3.295974604355933479e-17
3.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000000e+00,9.312783629798222496e-01,9.118906534538743225e-01,9.315137935657242796e-01,5.844527336054672340e-18
3.000000000000000000e+00,1.000000000000000021e-03,4.000000000000000000e+00,9.312963224703739717e-01,9.090736988843653998e-01,9.315137935657243906e-01,1.908873449932291244e-17
3.000000000000000000e+00,1.778279410038922752e-03,1.000000000000000000e+00,9.310823816487781013e-01,9.118262825081282497e-01,9.315137935657242796e-01,1.641211038599932337e-17
3.000000000000000000e+00,1.778279410038922752e-03,4.000000000000000000e+00,9.311010822585369384e-01,9.090135433487153138e-01,9.315137935657243906e-01,9.496933404615215402e-18
3.000000000000000000e+00,3.162277660168379394e-03,1.000000000000000000e+00,9.307591901096424758e-01,9.117631102265951748e-01,9.315137935657242796e-01,2.154513004636038342e-17
3.000000000000000000e+00,3.162277660168379394e-03,4.000000000000000000e+00,9.307782427176592988e-01,9.088182320887582266e-01,9.315137935657243906e-01,1.043544591017298018e-17
