eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.0006951927961775605,2885.3998118144273,4.863009531730356e-07,1.2383332698151506e-06,4.85722573273506e-16
0.0006951927961775605,3370.3907114852836,3.2335204613875845e-07,9.279728231392781e-07,6.106226635438361e-16
0.0006951927961775605,3936.9010497450113,2.2015677469955364e-07,6.936238221566526e-07,6.522560269672795e-16
0.0006951927961775605,4598.632978267703,1.5275284426241598e-07,5.170016906808073e-07,3.3306690738754696e-16
0.0006951927961775605,5371.591767636877,1.0755478385693351e-07,3.837292049668761e-07,5.412337245047638e-16
0.0006951927961775605,6274.472925867966,7.658446365965688e-08,2.830952205989945e-07,8.257283745649602e-16
0.0006951927961775605,7329.114385542688,5.499285293808498e-08,2.072166814803822e-07,6.314393452555578e-16
0.0006951927961775605,8561.024696578494,3.973513806876383e-08,1.5024371768923572e-07,3.122502256758253e-16
0.0006951927961775605,10000.0,2.8841397159418136e-08,1.077605330523923e-07,2.498001805406602e-16
0.0011288378916846883,20.0,4.579736416758951e-10,4.5369659488732686e-10,1.0408340855860843e-17
0.0011288378916846883,23.361689410840295,7.470639352632775e-10,7.404532980682943e-10,6.938893903907228e-18
0.0011288378916846883,27.288426606428374,1.2821315579863123e-09,1.2715216634586954e-09,1.3877787807814457e-17
0.0011288378916846883,31.87518734449451,2.3097980606629452e-09,2.2922336587985655e-09,1.0408340855860843e-17
0.0011288378916846883,37.23291133272139,4.352794102208905e-09,4.323105372977792e-09,1.0408340855860843e-17
0.0011288378916846883,43.49118552081964,8.542948098607707e-09,8.492477304071835e-09,3.469446951953614e-18
0.0011288378916846883,50.80137841233114,1.7375278065835144e-08,1.7290974849571827e-08,1.0408340855860843e-17
0.0011288378916846883,59.34030120557235,3.6429019449656444e-08,3.629613333744038e-08,6.938893903907228e-18
0.0011288378916846883,69.31448431551465,7.831032268132421e-08,7.812874604825465e-08,6.938893903907228e-18
0.0011288378916846883,80.9651727125807,1.7167717506231736e-07,1.7151215512308925e-07,6.938893903907228e-18
0.0011288378916846883,94.5741609003176,3.817661334258333e-07,3.8182126413724427e-07,3.903127820947816e-18
0.0011288378916846883,110.47060866220276,8.564519762756673e-07,8.56691900887746e-07,6.938893903907228e-18
0.0011288378916846883,129.0390024296432,1.927209366227355e-06,1.922867909289047e-06,3.469446951953614e-18
0.0011288378916846883,150.72845483229952,4.322053687370268e-06,4.2742460073159384e-06,1.3010426069826053e-17
0.0011288378916846883,176.06356735840254,9.5862994348387e-06,9.277145335819144e-06,1.9081958235744878e-17
0.0011288378916846883,205.65711885957793,2.081779695849509e-05,1.9339500607921598e-05,3.122502256758253e-17
0.0011288378916846883,240.22488679628626,4.3620670154301266e-05,3.840369697991758e-05,3.469446951953614e-17
0.0011288378916846883,280.60295970445543,8.618084251188485e-05,7.308027320943045e-05,8.326672684688674e-17
0.0011288378916846883,327.76795961890105,0.00015466026392862986,0.00013098234359446015,7.632783294297951e-17
0.0011288378916846883,382.86066357208045,0.00023835842106978422,0.00020532334076472925,5.594483210025203e-17
0.0011288378916846883,447.213595499958,0.00029504443153577364,0.0002566353243069197,8.153200337090993e-17
0.0011288378916846883,522.3832559187591,0.00028014152003696946,0.0002411145622657762,5.551115123125783e-17
0.0011288378916846883,610.1877689098774,0.0002063935831905228,0.00017068337310988113,1.1275702593849246e-16
0.0011288378916846883,712.7508569783073,0.00012600576217669524,9.58011998362096e-05,9.020562075079397e-17
0.0011288378916846883,832.5532074018732,6.907806865119603e-05,4.5003948699551266e-05,2.1510571102112408e-16
0.0011288378916846883,972.4924724660731,3.625859077927007e-05,1.7950974543712306e-05,2.8449465006019636e-16
0.0011288378916846883,1135.9533548066277,1.8995321823478406e-05,5.567813307960634e-06,1.6653345369377348e-16
0.0011288378916846883,1326.889473009725,1.0173882010966473e-05,5.657798339830933e-07,4.0245584642661925e-16
0.0011288378916846883,1549.918987548337,5.641607001338755e-06,1.1434993364423107e-06,2.914335439641036e-16
0.0011288378916846883,1810.4362999534146,3.256149580854739e-06,1.5198433217511464e-06,2.0816681711721685e-16
0.0011288378916846883,2114.7425268811285,1.9572515375099186e-06,1.417860183927644e-06,4.0245584642661925e-16
0.0011288378916846883,2470.1979048446246,1.2222580377807546e-06,1.1822196449573497e-06,4.163336342344337e-16
0.0011288378916846883,2885.3998118144273,7.896021101405637e-07,9.395791296107348e-07,4.996003610813204e-16
0.0011288378916846883,3370.3907114852836,5.250283737767703e-07,7.292885655374448e-07,3.191891195797325e-16
