G_uM,epsilon,direct,J,PII_TV,GS_total_gap,GS_free_gap,GS_bound,GS_condition_bound
43.49118552081964,0.08458970107524516,0.0,0.0,0.00010697574655764606,7.100606706750929e-13,0.0,0.010573712634405645,0.010573712634405645
43.49118552081964,0.12301164881445506,0.0,0.0,0.00015527555994616836,1.6304699052753589e-12,0.0,0.015376456101806883,0.015376456101806883
43.49118552081964,0.17888543819998323,0.0,0.0,0.00022514798402593753,3.895169570961008e-12,3.3881317890172014e-21,0.022360679774997904,0.022360679774997904
43.49118552081964,0.26013796504969466,0.0,0.0,0.00032587921940611036,9.901661433863503e-12,4.235164736271502e-22,0.03251724563121183,0.03251724563121183
43.49118552081964,0.37829664360127047,0.0,0.0,0.00047011244263010646,2.7820835959170215e-11,3.3881317890172014e-21,0.04728708045015881,0.04728708045015881
43.49118552081964,0.5501248175469059,0.0,0.0,0.0006734438196741128,9.247390312211277e-11,3.3881317890172014e-21,0.06876560219336324,0.06876560219336324
43.49118552081964,0.8,0.0,0.0,0.0009474510167082088,4.1134288868059047e-10,0.0,0.1,0.1
50.80137841233114,0.0001,0.0,0.0,1.5870129373746044e-07,1.536644821261389e-17,0.0,1.25e-05,1.25e-05
50.80137841233114,0.00014542154334489538,0.0,0.0,2.307852346719038e-07,2.1066132914688077e-17,4.235164736271502e-22,1.8177692918111922e-05,1.8177692918111922e-05
50.80137841233114,0.00021147425268811283,0.0,0.0,3.356101044111046e-07,2.7929217369816045e-17,4.235164736271502e-22,2.6434281586014103e-05,2.6434281586014103e-05
50.80137841233114,0.00030752912203613756,0.0,0.0,4.880465485251897e-07,3.4890134130351885e-17,0.0,3.8441140254517195e-05,3.8441140254517195e-05
50.80137841233114,0.00044721359549995795,0.0,0.0,7.097188051521709e-07,3.8623431845375214e-17,0.0,5.5901699437494744e-05,5.5901699437494744e-05
50.80137841233114,0.0006503449126242365,0.0,0.0,1.0320713099468416e-06,3.053765533088566e-17,0.0,8.129311407802956e-05,8.129311407802956e-05
50.80137841233114,0.000945741609003176,0.0,0.0,1.5008270981682355e-06,9.867086802565345e-18,4.235164736271502e-22,0.000118217701125397,0.000118217701125397
50.80137841233114,0.0013753120438672643,0.0,0.0,2.1824689579676943e-06,1.2925299258626996e-16,4.235164736271502e-22,0.00017191400548340803,0.00017191400548340803
50.80137841233114,0.0020000000000000005,0.0,0.0,3.1736594760664194e-06,4.3155905146132975e-16,4.235164736271502e-22,0.00025000000000000006,0.00025000000000000006
50.80137841233114,0.0029084308668979077,0.0,0.0,4.6149293812156955e-06,1.144175493282898e-15,0.0,0.00036355385836223846,0.00036355385836223846
50.80137841233114,0.0042294850537622575,0.0,0.0,6.710561062012063e-06,2.7611508016795166e-15,0.0,0.0005286856317202822,0.0005286856317202822
50.80137841233114,0.0061505824407227525,0.0,0.0,9.757456153477624e-06,6.350578276545808e-15,0.0,0.0007688228050903441,0.0007688228050903441
50.80137841233114,0.008944271909999161,0.0,0.0,1.4187014011259009e-05,1.4219568990163356e-14,0.0,0.0011180339887498952,0.0011180339887498952
50.80137841233114,0.01300689825248473,0.0,0.0,2.0625814835372034e-05,3.136207758064596e-14,0.0,0.0016258622815605913,0.0016258622815605913
50.80137841233114,0.01891483218006352,0.0,0.0,2.9983396654129532e-05,6.86473125658402e-14,4.235164736271502e-22,0.00236435402250794,0.00236435402250794
50.80137841233114,0.02750624087734529,0.0,0.0,4.357887795528357e-05,1.4995838856828253e-13,4.235164736271502e-22,0.003438280109668161,0.003438280109668161
50.80137841233114,0.04000000000000001,0.0,0.0,6.332282883902705e-05,3.285617970626338e-13,0.0,0.005000000000000001,0.005000000000000001
50.80137841233114,0.05816861733795817,0.0,0.0,9.197663797576026e-05,7.259360586340646e-13,0.0,0.007271077167244772,0.007271077167244772
50.80137841233114,0.08458970107524516,0.0,0.0,0.0001335178156350148,1.6283370072809873e-12,0.0,0.010573712634405645,0.010573712634405645
50.80137841233114,0.12301164881445506,0.0,0.0,0.00019364251835908564,3.743181524797372e-12,4.235164736271502e-22,0.015376456101806883,0.015376456101806883
50.80137841233114,0.17888543819998323,0.0,0.0,0.0002804228653729814,8.943563495380212e-12,0.0,0.022360679774997904,0.022360679774997904
50.80137841233114,0.26013796504969466,0.0,0.0,0.00040505924652877877,2.271206936883569e-11,4.235164736271502e-22,0.03251724563121183,0.03251724563121183
50.80137841233114,0.37829664360127047,0.0,0.0,0.0005823444956176355,6.36378843950675e-11,0.0,0.04728708045015881,0.04728708045015881
50.80137841233114,0.5501248175469059,0.0,0.0,0.0008290752113267036,2.1016623700854692e-10,0.0,0.06876560219336324,0.06876560219336324
