eta,direct,J,epsilon,G_uM,total_GS_gap,bound
0.1,0,0.4,0.8,1303.672689737678,0.00013421202789598574,1
0.1,0,0.4,0.8,1614.7276486997293,0.00012176977890510088,1
0.1,0,0.4,0.8,2000.0,0.00010857033412647876,1
0.1,1,0,0.01,100.0,5.1576053189243166e-08,0.0037625786760090534
0.1,1,0,0.01,123.85989684455544,5.40948553811281e-08,0.0037625786760090534
0.1,1,0,0.01,153.41274046343915,4.760901183139751e-08,0.0037625786760090534
0.1,1,0,0.01,190.0168620844211,3.0960470365389015e-08,0.0037625786760090534
0.1,1,0,0.01,235.35468936502514,2.322175880753452e-08,0.0037625786760090534
0.1,1,0,0.01,291.51007546634406,7.996009537825088e-08,0.0037625786760090534
0.1,1,0,0.01,361.06407876409946,2.0943033243736586e-07,0.0037625786760090534
0.1,1,0,0.01,447.213595499958,4.2091127805399253e-07,0.0037625786760090534
0.1,1,0,0.01,553.9182980610753,7.69357537233617e-07,0.0037625786760090534
0.1,1,0,0.01,686.0826325815651,1.1349413474581738e-06,0.0037625786760090534
0.1,1,0,0.01,849.781240983936,1.3722079973410573e-06,0.0037625786760090534
0.1,1,0,0.01,1052.5381684870872,1.4561136163493416e-06,0.0037625786760090534
0.1,1,0,0.01,1303.672689737678,1.4226990835419784e-06,0.0037625786760090534
0.1,1,0,0.01,1614.7276486997293,1.3224337425121746e-06,0.0037625786760090534
0.1,1,0,0.01,2000.0,1.197242163852863e-06,0.0037625786760090534
0.1,1,0,0.1,100.0,6.287533540476776e-07,0.03883403898972401
0.1,1,0,0.1,123.85989684455544,6.641673135979187e-07,0.03883403898972401
0.1,1,0,0.1,153.41274046343915,5.997209095004973e-07,0.03883403898972401
0.1,1,0,0.1,190.0168620844211,4.2194232500927104e-07,0.03883403898972401
0.1,1,0,0.1,235.35468936502514,3.22653314434318e-07,0.03883403898972401
0.1,1,0,0.1,291.51007546634406,8.95728678923513e-07,0.03883403898972401
0.1,1,0,0.1,361.06407876409946,2.2822086002682873e-06,0.03883403898972401
0.1,1,0,0.1,447.213595499958,4.534841851866478e-06,0.03883403898972401
0.1,1,0,0.1,553.9182980610753,8.126627177529322e-06,0.03883403898972401
0.1,1,0,0.1,686.0826325815651,1.1816049936497208e-05,0.03883403898972401
0.1,1,0,0.1,849.781240983936,1.4165843926661204e-05,0.03883403898972401
0.1,1,0,0.1,1052.5381684870872,1.4958633117623243e-05,0.03883403898972401
0.1,1,0,0.1,1303.672689737678,1.4572673908364031e-05,0.03883403898972401
0.1,1,0,0.1,1614.7276486997293,1.3520090894503234e-05,0.03883403898972401
0.1,1,0,0.1,2000.0,1.222344298257294e-05,0.03883403898972401
0.1,1,0,0.8,100.0,3.212172545312268e-05,0.4819660112501052
0.1,1,0,0.8,123.85989684455544,3.427087031365392e-05,0.4819660112501052
0.1,1,0,0.8,153.41274046343915,3.479749126707177e-05,0.4819660112501052
0.1,1,0,0.8,190.0168620844211,3.3866804637775264e-05,0.4819660112501052
0.1,1,0,0.8,235.35468936502514,3.237341043897321e-05,0.4819660112501052
0.1,1,0,0.8,291.51007546634406,3.641960299972935e-05,0.4819660112501052
0.1,1,0,0.8,361.06407876409946,5.061943166212446e-05,0.4819660112501052
0.1,1,0,0.8,447.213595499958,7.230927940327092e-05,0.4819660112501052
0.1,1,0,0.8,553.9182980610753,0.00010174247453120788,0.4819660112501052
0.1,1,0,0.8,686.0826325815651,0.00012916858954303834,0.4819660112501052
0.1,1,0,0.8,849.781240983936,0.00014412560821464027,0.4819660112501052
0.1,1,0,0.8,1052.5381684870872,0.00014612508350086983,0.4819660112501052
0.1,1,0,0.8,1303.672689737678,0.00013889600265526436,0.4819660112501052
0.1,1,0,0.8,1614.7276486997293,0.00012681319734486607,0.4819660112501052
0.1,1,0,0.8,2000.0,0.00011334687944153377,0.4819660112501052
0.1,1,0.4,0.01,100.0,6.342764571367726e-10,0.031391874289600635
0.1,1,0.4,0.01,123.85989684455544,6.648731602440245e-10,0.031391874289600635
0.1,1,0.4,0.01,153.41274046343915,5.773745827890807e-10,0.031391874289600635
0.1,1,0.4,0.01,190.0168620844211,2.9929832207455445e-10,0.031391874289600635
0.1,1,0.4,0.01,235.35468936502514,2.3182701006270456e-10,0.031391874289600635
0.1,1,0.4,0.01,291.51007546634406,4.881492488874317e-10,0.031391874289600635
0.1,1,0.4,0.01,361.06407876409946,4.335683413420749e-09,0.031391874289600635
0.1,1,0.4,0.01,447.213595499958,1.0792822063149243e-08,0.031391874289600635
0.1,1,0.4,0.01,553.9182980610753,5.183610327641475e-07,0.031391874289600635
0.1,1,0.4,0.01,686.0826325815651,1.2960249458071615e-06,0.031391874289600635
0.1,1,0.4,0.01,849.781240983936,1.418404247832683e-06,0.031391874289600635
0.1,1,0.4,0.01,1052.5381684870872,1.4409136513959808e-06,0.031391874289600635
